report_date,egg_type,price_low,price_high,avg_price,avg_price_prev,price_unit
2025-02-03,Breaking Stock,390.0,441.0,425.75,,Cents Per Dozen
2025-02-03,Undergrades,426.0,430.0,428.0,,Cents Per Dozen
2025-02-04,Breaking Stock,440.0,575.0,484.5,425.75,Cents Per Dozen
2025-02-04,Undergrades,451.0,455.0,453.0,428.0,Cents Per Dozen
2025-02-05,Breaking Stock,440.0,575.0,518.75,484.5,Cents Per Dozen
2025-02-05,Undergrades,479.0,483.0,481.0,453.0,Cents Per Dozen
2025-02-06,Breaking Stock,485.0,575.0,537.0,518.75,Cents Per Dozen
2025-02-06,Undergrades,507.0,511.0,509.0,481.0,Cents Per Dozen
2025-02-07,Breaking Stock,548.0,640.0,584.5,537.0,Cents Per Dozen
2025-02-07,Undergrades,542.0,546.0,544.0,509.0,Cents Per Dozen
2025-02-10,Breaking Stock,575.0,640.0,597.5,584.5,Cents Per Dozen
2025-02-10,Undergrades,577.0,581.0,579.0,544.0,Cents Per Dozen
2025-02-11,Breaking Stock,608.0,640.0,620.25,597.5,Cents Per Dozen
2025-02-11,Undergrades,602.0,606.0,604.0,579.0,Cents Per Dozen
2025-02-12,Breaking Stock,616.0,640.0,627.25,620.25,Cents Per Dozen
2025-02-12,Undergrades,616.0,620.0,618.0,604.0,Cents Per Dozen
2025-02-13,Breaking Stock,612.0,646.0,633.25,627.25,Cents Per Dozen
2025-02-13,Undergrades,631.0,635.0,633.0,618.0,Cents Per Dozen
2025-02-14,Breaking Stock,612.0,646.0,633.25,633.25,Cents Per Dozen
2025-02-14,Undergrades,631.0,635.0,633.0,633.0,Cents Per Dozen
2025-02-18,Breaking Stock,612.0,646.0,633.75,633.25,Cents Per Dozen
2025-02-18,Undergrades,631.0,635.0,633.0,633.0,Cents Per Dozen
2025-02-19,Breaking Stock,595.0,646.0,629.5,633.75,Cents Per Dozen
2025-02-19,Undergrades,631.0,635.0,633.0,633.0,Cents Per Dozen
2025-02-20,Breaking Stock,595.0,646.0,629.5,629.5,Cents Per Dozen
2025-02-20,Undergrades,631.0,635.0,633.0,633.0,Cents Per Dozen
2025-02-21,Breaking Stock,605.0,648.0,632.5,629.5,Cents Per Dozen
2025-02-21,Undergrades,631.0,635.0,633.0,633.0,Cents Per Dozen
2025-02-24,Breaking Stock,598.0,648.0,630.75,632.5,Cents Per Dozen
2025-02-24,Undergrades,631.0,635.0,633.0,633.0,Cents Per Dozen
2025-02-25,Breaking Stock,598.0,648.0,630.75,630.75,Cents Per Dozen
2025-02-25,Undergrades,631.0,635.0,633.0,633.0,Cents Per Dozen
2025-02-26,Breaking Stock,601.0,648.0,631.5,630.75,Cents Per Dozen
2025-02-26,Undergrades,631.0,635.0,633.0,633.0,Cents Per Dozen
2025-02-27,Breaking Stock,601.0,648.0,630.25,631.5,Cents Per Dozen
2025-02-27,Undergrades,626.0,630.0,628.0,633.0,Cents Per Dozen
2025-02-28,Breaking Stock,516.0,640.0,604.75,630.25,Cents Per Dozen
2025-02-28,Undergrades,621.0,625.0,623.0,628.0,Cents Per Dozen
2025-03-03,Breaking Stock,496.0,616.0,583.75,604.75,Cents Per Dozen
2025-03-03,Undergrades,601.0,605.0,603.0,623.0,Cents Per Dozen
2025-03-04,Breaking Stock,475.0,601.0,564.75,583.75,Cents Per Dozen
2025-03-04,Undergrades,581.0,585.0,583.0,603.0,Cents Per Dozen
2025-03-05,Breaking Stock,475.0,574.0,538.5,564.75,Cents Per Dozen
2025-03-05,Undergrades,559.0,563.0,561.0,583.0,Cents Per Dozen
2025-03-06,Breaking Stock,376.0,550.0,503.75,538.5,Cents Per Dozen
2025-03-06,Undergrades,534.0,538.0,536.0,561.0,Cents Per Dozen
2025-03-07,Breaking Stock,340.0,519.0,467.25,503.75,Cents Per Dozen
2025-03-07,Undergrades,504.0,508.0,506.0,536.0,Cents Per Dozen
2025-03-10,Breaking Stock,340.0,496.0,451.25,467.25,Cents Per Dozen
2025-03-10,Undergrades,474.0,478.0,476.0,506.0,Cents Per Dozen
2025-03-11,Breaking Stock,340.0,475.0,429.0,451.25,Cents Per Dozen
2025-03-11,Undergrades,440.0,444.0,442.0,476.0,Cents Per Dozen
2025-03-12,Breaking Stock,260.0,446.0,362.75,429.0,Cents Per Dozen
2025-03-12,Undergrades,390.0,394.0,392.0,442.0,Cents Per Dozen
2025-03-13,Breaking Stock,260.0,380.0,342.75,362.75,Cents Per Dozen
2025-03-13,Undergrades,355.0,359.0,357.0,392.0,Cents Per Dozen
2025-03-14,Breaking Stock,226.0,340.0,282.75,342.75,Cents Per Dozen
2025-03-14,Undergrades,320.0,324.0,322.0,357.0,Cents Per Dozen
2025-03-17,Breaking Stock,220.0,310.0,267.25,282.75,Cents Per Dozen
2025-03-17,Undergrades,295.0,299.0,297.0,322.0,Cents Per Dozen
2025-03-18,Breaking Stock,220.0,290.0,257.25,267.25,Cents Per Dozen
2025-03-18,Undergrades,275.0,279.0,277.0,297.0,Cents Per Dozen
2025-03-19,Breaking Stock,220.0,285.0,254.75,257.25,Cents Per Dozen
2025-03-19,Undergrades,270.0,274.0,272.0,277.0,Cents Per Dozen
2025-03-20,Breaking Stock,250.0,285.0,269.75,254.75,Cents Per Dozen
