release_date,week_ending_date,hatchability_pct,source,txt_url,pdf_url
2004-01-28,,82.0,seed,,
2004-02-04,,83.0,seed,,
2004-11-17,,83.0,seed,,
2004-12-01,,84.0,seed,,
2005-04-20,,84.0,seed,,
2005-04-27,,84.0,seed,,
2005-06-22,,84.0,seed,,
2005-06-29,,84.0,seed,,
2005-07-06,,84.0,seed,,
2005-07-20,,83.0,seed,,
2005-08-10,,84.0,seed,,
2005-08-24,,83.0,seed,,
2005-08-31,,83.0,seed,,
2005-09-07,,82.0,seed,,
2005-11-30,,83.0,seed,,
2005-12-07,,83.0,seed,,
2005-12-14,,83.0,seed,,
2005-12-21,,83.0,seed,,
2005-12-28,,83.0,seed,,
2006-01-04,,83.0,seed,,
2006-01-11,,83.0,seed,,
2006-01-18,,83.0,seed,,
2006-01-25,,83.0,seed,,
2006-02-01,,83.0,seed,,
2006-02-08,,83.0,seed,,
2006-02-15,,83.0,seed,,
2006-02-22,,83.0,seed,,
2006-03-01,,83.0,seed,,
2006-03-08,,83.0,seed,,
2006-03-15,,83.0,seed,,
2006-03-22,,83.0,seed,,
2006-03-29,,83.0,seed,,
2006-04-05,,83.0,seed,,
2006-04-12,,83.0,seed,,
2006-04-19,,83.0,seed,,
2006-04-26,,83.0,seed,,
2006-05-03,,84.0,seed,,
2006-05-10,,84.0,seed,,
2006-05-17,,83.0,seed,,
2006-05-24,,83.0,seed,,
2006-05-31,,84.0,seed,,
2006-06-07,,84.0,seed,,
2006-06-14,,83.0,seed,,
2006-06-21,,83.0,seed,,
2006-06-28,,83.0,seed,,
2006-07-06,,84.0,seed,,
2006-07-12,,84.0,seed,,
2006-07-19,,83.0,seed,,
2006-07-26,,83.0,seed,,
2006-08-02,,83.0,seed,,
2006-08-09,,83.0,seed,,
2006-08-16,,83.0,seed,,
2006-08-23,,83.0,seed,,
2006-08-30,,83.0,seed,,
2006-09-06,,83.0,seed,,
2006-09-13,,83.0,seed,,
2006-09-20,,83.0,seed,,
2006-09-27,,83.0,seed,,
2006-10-04,,83.0,seed,,
2006-10-11,,83.0,seed,,
2006-10-18,,83.0,seed,,
2006-10-25,,83.0,seed,,
2006-11-01,,83.0,seed,,
2006-11-08,,83.0,seed,,
2006-11-15,,83.0,seed,,
2006-11-22,,83.0,seed,,
2006-11-29,,83.0,seed,,
2006-12-06,,83.0,seed,,
2006-12-13,,83.0,seed,,
2006-12-20,,83.0,seed,,
2006-12-27,,83.0,seed,,
2007-01-04,,83.0,seed,,
2007-01-10,,83.0,seed,,
2007-01-17,,83.0,seed,,
2007-01-24,,83.0,seed,,
2007-01-31,,83.0,seed,,
2007-02-07,,83.0,seed,,
2007-02-14,,84.0,seed,,
2007-02-21,,83.0,seed,,
2007-02-28,,83.0,seed,,
2007-03-07,,83.0,seed,,
2007-03-14,,83.0,seed,,
2007-03-21,,83.0,seed,,
2007-03-28,,83.0,seed,,
