report_date,item,low_price,high_price,wtd_avg_price,volume,wtd_avg_price_prev,volume_prev,price_change,price_unit,volume_unit
2023-01-01,ALL Items,122.0,122.0,122.0,15,123.69,39336,-1.69,Cents Per Lb,Pounds
2023-01-01,All Items,96.0,159.0,126.33,10780,129.2,11219,-2.87,Cents Per Lb,Pounds
2023-01-01,Backs and Necks Stripped,7.0,14.0,12.01,5573,12.69,5410,-0.68,Cents Per Lb,Pounds
2023-01-01,Breast - B/S,67.0,265.0,100.68,10252,95.77,11065,4.91,Cents Per Lb,Pounds
2023-01-01,Breast - Line Run,97.0,115.0,105.97,751,104.38,788,1.59,Cents Per Lb,Pounds
2023-01-01,Breast With Ribs,101.0,147.0,120.0,698,114.01,800,5.99,Cents Per Lb,Pounds
2023-01-01,Drumsticks,28.0,59.0,40.29,5145,39.67,5631,0.62,Cents Per Lb,Pounds
2023-01-01,Frames,3.0,8.0,5.22,6320,4.38,5640,0.84,Cents Per Lb,Pounds
2023-01-01,Gizzards and Hearts,45.0,75.0,64.77,512,66.01,614,-1.24,Cents Per Lb,Pounds
2023-01-01,Leg Quarters - 4/10,29.0,35.0,31.99,116,30.07,371,1.92,Cents Per Lb,Pounds
2023-01-01,Leg quarters - Bulk,24.0,33.0,27.16,308,22.11,1120,5.05,Cents Per Lb,Pounds
2023-01-01,Legs - Bone-in,31.0,50.0,34.87,1945,40.59,1303,-5.72,Cents Per Lb,Pounds
2023-01-01,Livers,59.0,64.0,60.73,400,61.72,980,-0.99,Cents Per Lb,Pounds
2023-01-01,Mechanically Separated,28.0,37.0,32.85,2214,37.76,1944,-4.91,Cents Per Lb,Pounds
2023-01-01,RTC Broiler/Fryer,122.0,122.0,122.0,15,129.46,11862,-7.46,Cents Per Lb,Pounds
2023-01-01,Tenderloins,88.0,154.0,105.98,4198,103.81,3912,2.17,Cents Per Lb,Pounds
2023-01-01,Thighs - B/S,62.0,97.0,78.34,3259,76.18,4219,2.16,Cents Per Lb,Pounds
2023-01-01,Thighs - Bone-in,40.0,57.0,47.93,437,47.13,494,0.8,Cents Per Lb,Pounds
2023-01-01,WOG,96.0,157.0,125.62,10220,127.78,10485,-2.16,Cents Per Lb,Pounds
2023-01-01,Wings - Cut,77.0,105.0,84.61,662,89.97,816,-5.36,Cents Per Lb,Pounds
2023-01-01,Wings - Whole,76.0,111.0,91.36,3257,89.0,2876,2.36,Cents Per Lb,Pounds
2023-02-01,ALL Items,80.0,160.0,121.68,40691,121.84,39557,-0.16,Cents Per Lb,Pounds
2023-02-01,All Items,95.0,160.0,126.77,11693,126.33,10780,0.44,Cents Per Lb,Pounds
2023-02-01,Backs and Necks Stripped,9.0,14.0,11.83,6093,12.01,5573,-0.18,Cents Per Lb,Pounds
2023-02-01,Breast - B/S,85.0,267.0,122.81,10536,100.68,10252,22.13,Cents Per Lb,Pounds
2023-02-01,Breast - Line Run,106.0,123.0,114.41,698,105.97,751,8.44,Cents Per Lb,Pounds
2023-02-01,Breast With Ribs,111.0,155.0,134.38,433,120.0,698,14.38,Cents Per Lb,Pounds
2023-02-01,Drumsticks,26.0,57.0,40.21,7819,40.29,5145,-0.08,Cents Per Lb,Pounds
2023-02-01,Frames,2.0,6.0,4.27,6600,5.22,6320,-0.95,Cents Per Lb,Pounds
2023-02-01,Gizzards and Hearts,52.0,74.0,66.24,502,64.77,512,1.47,Cents Per Lb,Pounds
2023-02-01,Leg quarters - Bulk,28.0,45.0,35.59,9823,27.16,308,8.43,Cents Per Lb,Pounds
2023-02-01,Legs - Bone-in,38.0,65.0,53.57,1354,,,,Cents Per Lb,Pounds
2023-02-01,Livers,60.0,63.0,61.41,360,60.73,400,0.68,Cents Per Lb,Pounds
2023-02-01,Mechanically Separated,30.0,36.0,33.34,1971,32.85,2214,0.49,Cents Per Lb,Pounds
2023-02-01,RTC Broiler/Fryer,80.0,158.0,125.98,12753,126.69,12310,-0.71,Cents Per Lb,Pounds
2023-02-01,Tenderloins,90.0,161.0,116.48,4062,105.98,4198,10.5,Cents Per Lb,Pounds
2023-02-01,Thighs - B/S,57.0,116.0,90.22,3573,78.34,3259,11.88,Cents Per Lb,Pounds
2023-02-01,Thighs - Bone-in,41.0,69.0,53.58,358,47.93,437,5.65,Cents Per Lb,Pounds
2023-02-01,WOG,98.0,160.0,126.21,10790,125.62,10220,0.59,Cents Per Lb,Pounds
2023-02-01,Wings - Cut,77.0,120.0,91.99,677,84.61,662,7.38,Cents Per Lb,Pounds
2023-02-01,Wings - Whole,82.0,141.0,110.33,3421,91.36,3257,18.97,Cents Per Lb,Pounds
