report_date,item,low_price,high_price,wtd_avg_price,volume,wtd_avg_price_prev,volume_prev,price_change,price_unit,volume_unit
2023-01-02,ALL Items,80.0,160.0,123.01,9936,121.72,9906,1.29,Cents Per Lb,Pounds
2023-01-02,All Items,96.0,158.0,127.25,2670,126.43,2720,0.82,Cents Per Lb,Pounds
2023-01-02,Backs and Necks Stripped,7.0,14.0,12.46,1039,12.32,1264,0.14,Cents Per Lb,Pounds
2023-01-02,Breast - B/S,67.0,265.0,97.99,2213,98.62,2070,-0.63,Cents Per Lb,Pounds
2023-01-02,Breast - Line Run,100.0,112.0,104.77,187,105.36,196,-0.59,Cents Per Lb,Pounds
2023-01-02,Breast With Ribs,101.0,140.0,116.62,191,113.32,167,3.3,Cents Per Lb,Pounds
2023-01-02,Drumsticks,30.0,57.0,41.57,1386,41.19,691,0.38,Cents Per Lb,Pounds
2023-01-02,Frames,3.0,6.0,4.35,1480,4.42,1240,-0.07,Cents Per Lb,Pounds
2023-01-02,Gizzards and Hearts,45.0,74.0,66.9,111,63.44,134,3.46,Cents Per Lb,Pounds
2023-01-02,Leg quarters - Bulk,28.0,42.0,33.7,1106,35.66,1740,-1.96,Cents Per Lb,Pounds
2023-01-02,Legs - Bone-in,31.0,41.0,33.76,428,35.55,260,-1.79,Cents Per Lb,Pounds
2023-01-02,Livers,59.0,64.0,60.28,175,61.33,147,-1.05,Cents Per Lb,Pounds
2023-01-02,Mechanically Separated,28.0,37.0,33.5,648,37.55,594,-4.05,Cents Per Lb,Pounds
2023-01-02,RTC Broiler/Fryer,94.0,160.0,128.13,3060,128.09,2874,0.04,Cents Per Lb,Pounds
2023-01-02,Tenderloins,92.0,150.0,105.62,947,104.36,914,1.26,Cents Per Lb,Pounds
2023-01-02,Thighs - B/S,66.0,96.0,77.76,703,74.53,863,3.23,Cents Per Lb,Pounds
2023-01-02,Thighs - Bone-in,40.0,57.0,47.33,129,46.17,119,1.16,Cents Per Lb,Pounds
2023-01-02,WOG,96.0,157.0,126.32,2555,125.7,2570,0.62,Cents Per Lb,Pounds
2023-01-02,Wings - Cut,77.0,98.0,84.75,144,87.67,210,-2.92,Cents Per Lb,Pounds
2023-01-02,Wings - Whole,76.0,108.0,88.57,683,88.21,731,0.36,Cents Per Lb,Pounds
2023-01-09,ALL Items,82.0,160.0,122.06,10538,123.01,9936,-0.95,Cents Per Lb,Pounds
2023-01-09,All Items,98.0,158.0,126.4,2775,127.25,2670,-0.85,Cents Per Lb,Pounds
2023-01-09,Backs and Necks Stripped,7.0,13.0,11.8,1508,12.46,1039,-0.66,Cents Per Lb,Pounds
2023-01-09,Breast - B/S,67.0,265.0,97.12,2770,97.99,2213,-0.87,Cents Per Lb,Pounds
2023-01-09,Breast - Line Run,97.0,112.0,105.27,207,104.77,187,0.5,Cents Per Lb,Pounds
2023-01-09,Breast With Ribs,101.0,142.0,118.08,229,116.62,191,1.46,Cents Per Lb,Pounds
2023-01-09,Drumsticks,29.0,55.0,38.34,1070,41.57,1386,-3.23,Cents Per Lb,Pounds
2023-01-09,Frames,4.0,7.0,5.37,1520,4.35,1480,1.02,Cents Per Lb,Pounds
2023-01-09,Gizzards and Hearts,45.0,74.0,64.92,106,66.9,111,-1.98,Cents Per Lb,Pounds
2023-01-09,Leg Quarters - 4/10,29.0,35.0,31.99,116,,,,Cents Per Lb,Pounds
2023-01-09,Leg quarters - Bulk,28.0,47.0,34.99,1462,33.7,1106,1.29,Cents Per Lb,Pounds
2023-01-09,Legs - Bone-in,31.0,40.0,33.54,501,33.76,428,-0.22,Cents Per Lb,Pounds
2023-01-09,Livers,60.0,62.0,60.87,58,60.28,175,0.59,Cents Per Lb,Pounds
2023-01-09,Mechanically Separated,28.0,36.0,32.3,540,33.5,648,-1.2,Cents Per Lb,Pounds
2023-01-09,RTC Broiler/Fryer,88.0,160.0,127.31,3079,128.13,3060,-0.82,Cents Per Lb,Pounds
2023-01-09,Tenderloins,88.0,152.0,103.23,1178,105.62,947,-2.39,Cents Per Lb,Pounds
2023-01-09,Thighs - B/S,65.0,96.0,76.97,886,77.76,703,-0.79,Cents Per Lb,Pounds
2023-01-09,Thighs - Bone-in,40.0,56.0,48.0,108,47.33,129,0.67,Cents Per Lb,Pounds
2023-01-09,WOG,98.0,157.0,125.88,2640,126.32,2555,-0.44,Cents Per Lb,Pounds
2023-01-09,Wings - Cut,77.0,95.0,82.57,231,84.75,144,-2.18,Cents Per Lb,Pounds
2023-01-09,Wings - Whole,76.0,109.0,89.12,849,88.57,683,0.55,Cents Per Lb,Pounds
2023-01-16,ALL Items,122.0,122.0,122.0,15,122.06,10538,-0.06,Cents Per Lb,Pounds
2023-01-16,All Items,100.0,158.0,125.59,2630,126.4,2775,-0.81,Cents Per Lb,Pounds
2023-01-16,Backs and Necks Stripped,9.0,14.0,12.04,1482,11.8,1508,0.24,Cents Per Lb,Pounds
