report_date,category,commodity,holdings_lbs,holdings_1st_lbs,change_lbs,change_pct
2019-03-25,Chicken,Processed Other Poultry,75342000.0,,,
2019-03-25,Eggs,Frozen Eggs,2553000.0,,,
2019-03-25,Turkey,Processed Turkeys,105381000.0,,,
2019-04-01,Chicken,Processed Other Poultry,76624000.0,76624000.0,0.0,0.0
2019-04-01,Eggs,Frozen Eggs,2421000.0,2421000.0,0.0,0.0
2019-04-01,Turkey,Processed Turkeys,106403000.0,106403000.0,0.0,0.0
2019-04-08,Chicken,Processed Other Poultry,77471000.0,76624000.0,847000.0,1.0
2019-04-08,Eggs,Frozen Eggs,2471000.0,2421000.0,50000.0,2.0
2019-04-08,Turkey,Processed Turkeys,105812000.0,106403000.0,-591000.0,-1.0
2019-04-15,Chicken,Processed Other Poultry,77471000.0,76624000.0,847000.0,1.0
2019-04-15,Eggs,Frozen Eggs,2848000.0,2421000.0,427000.0,18.0
2019-04-15,Turkey,Processed Turkeys,104671000.0,106403000.0,-1732000.0,-2.0
2019-04-22,Chicken,Processed Other Poultry,81946000.0,76624000.0,5322000.0,7.0
2019-04-22,Eggs,Frozen Eggs,2887000.0,2421000.0,466000.0,19.0
2019-04-22,Turkey,Processed Turkeys,99173000.0,106403000.0,-7230000.0,-7.0
2019-04-29,Chicken,Processed Other Poultry,80930000.0,76624000.0,4306000.0,6.0
2019-04-29,Eggs,Frozen Eggs,2905000.0,2421000.0,484000.0,20.0
2019-04-29,Turkey,Processed Turkeys,96703000.0,106403000.0,-9700000.0,-9.0
2019-05-06,Chicken,Processed Other Poultry,75263000.0,78663000.0,-3400000.0,-4.0
2019-05-06,Eggs,Frozen Eggs,2900000.0,2903000.0,-3000.0,0.0
2019-05-06,Turkey,Processed Turkeys,96471000.0,96610000.0,-139000.0,0.0
2019-05-13,Chicken,Processed Other Poultry,75839000.0,78663000.0,-2824000.0,-4.0
2019-05-13,Eggs,Frozen Eggs,2919000.0,2903000.0,16000.0,1.0
2019-05-13,Turkey,Processed Turkeys,97551000.0,96610000.0,941000.0,1.0
2019-05-20,Chicken,Processed Other Poultry,74959000.0,78663000.0,-3704000.0,-5.0
2019-05-20,Eggs,Frozen Eggs,2892000.0,2903000.0,-11000.0,0.0
2019-05-20,Turkey,Processed Turkeys,99089000.0,96610000.0,2479000.0,3.0
2019-05-27,Chicken,Processed Other Poultry,73877000.0,78663000.0,-4786000.0,-6.0
2019-05-27,Eggs,Frozen Eggs,2848000.0,2903000.0,-55000.0,-2.0
2019-05-27,Turkey,Processed Turkeys,101169000.0,96610000.0,4559000.0,5.0
2019-06-03,Chicken,Processed Other Poultry,70519000.0,70519000.0,0.0,0.0
2019-06-03,Eggs,Frozen Eggs,2766000.0,2766000.0,0.0,0.0
2019-06-03,Turkey,Processed Turkeys,102546000.0,102546000.0,0.0,0.0
2019-06-10,Chicken,Processed Other Poultry,71944000.0,70519000.0,1425000.0,2.0
2019-06-10,Eggs,Frozen Eggs,2858000.0,2766000.0,92000.0,3.0
2019-06-10,Turkey,Processed Turkeys,103977000.0,102546000.0,1431000.0,1.0
2019-06-17,Chicken,Processed Other Poultry,77152000.0,70519000.0,6633000.0,9.0
2019-06-17,Eggs,Frozen Eggs,2882000.0,2766000.0,116000.0,4.0
2019-06-17,Turkey,Processed Turkeys,107593000.0,102546000.0,5047000.0,5.0
2019-06-24,Chicken,Processed Other Poultry,77967000.0,70519000.0,7448000.0,11.0
2019-06-24,Eggs,Frozen Eggs,2817000.0,2766000.0,51000.0,2.0
2019-06-24,Turkey,Processed Turkeys,109117000.0,102546000.0,6571000.0,6.0
2019-07-01,Chicken,Processed Other Poultry,77874000.0,77874000.0,0.0,0.0
2019-07-01,Eggs,Frozen Eggs,2890000.0,2890000.0,0.0,0.0
2019-07-01,Turkey,Processed Turkeys,110109000.0,110109000.0,0.0,0.0
2019-07-08,Chicken,Processed Other Poultry,78715000.0,77874000.0,841000.0,1.0
2019-07-08,Eggs,Frozen Eggs,2903000.0,2890000.0,13000.0,0.0
2019-07-08,Turkey,Processed Turkeys,113181000.0,110109000.0,3072000.0,3.0
2019-07-15,Chicken,Processed Other Poultry,77566000.0,77874000.0,-308000.0,0.0
2019-07-15,Eggs,Frozen Eggs,2911000.0,2890000.0,21000.0,1.0
2019-07-15,Turkey,Processed Turkeys,115133000.0,110109000.0,5024000.0,5.0
2019-07-22,Chicken,Processed Other Poultry,79522000.0,77874000.0,1648000.0,2.0
2019-07-22,Eggs,Frozen Eggs,2904000.0,2890000.0,14000.0,0.0
2019-07-22,Turkey,Processed Turkeys,118865000.0,110109000.0,8756000.0,8.0
2019-07-29,Chicken,Processed Other Poultry,78335000.0,77874000.0,461000.0,1.0
2019-07-29,Eggs,Frozen Eggs,2870000.0,2890000.0,-20000.0,-1.0
2019-07-29,Turkey,Processed Turkeys,115593000.0,110109000.0,5484000.0,5.0
2019-08-05,Chicken,Processed Other Poultry,78627000.0,78510000.0,117000.0,0.0
2019-08-05,Eggs,Frozen Eggs,2828000.0,2845000.0,-17000.0,-1.0
2019-08-05,Turkey,Processed Turkeys,121527000.0,119153000.0,2374000.0,2.0
2019-08-12,Chicken,Processed Other Poultry,77718000.0,78510000.0,-792000.0,-1.0
2019-08-12,Eggs,Frozen Eggs,2903000.0,2845000.0,58000.0,2.0
2019-08-12,Turkey,Processed Turkeys,124122000.0,119153000.0,4969000.0,4.0
2019-08-19,Chicken,Processed Other Poultry,77731000.0,78510000.0,-779000.0,-1.0
2019-08-19,Eggs,Frozen Eggs,2774000.0,2845000.0,-71000.0,-2.0
2019-08-19,Turkey,Processed Turkeys,124047000.0,119153000.0,4894000.0,4.0
