report_date,region,class,type,volume,pct_chg
2017-11-13,,Breaking Stock,,287.2,2.0%
2017-11-13,6-Area,,Cage-Free,52.6,41.9%
2017-11-13,6-Area,,Organic,64.2,-8.6%
2017-11-13,6-Area,,Specialty,31.8,-27.1%
2017-11-13,6-Area,Extra Large,,156.4,-8.1%
2017-11-13,6-Area,Jumbo,,62.3,5.4%
2017-11-13,6-Area,Large,,633.3,-1.5%
2017-11-13,6-Area,Medium,,136.1,-11.1%
2017-11-13,6-Area,Misc,,71.3,9.6%
2017-11-13,6-Area,Small,,15.9,-2.1%
2017-11-13,6-Area,Total,,1261.2,-3.7%
2017-11-13,6-Area,Ungraded,,186.0,-8.6%
2017-11-13,Midwest (MW),,Cage-Free,22.4,17.2%
2017-11-13,Midwest (MW),,Organic,34.8,-0.7%
2017-11-13,Midwest (MW),,Specialty,0.4,-95.2%
2017-11-13,Midwest (MW),Extra Large,,30.9,-12.7%
2017-11-13,Midwest (MW),Jumbo,,17.7,3.9%
2017-11-13,Midwest (MW),Large,,123.7,-14.7%
2017-11-13,Midwest (MW),Medium,,40.0,-0.3%
2017-11-13,Midwest (MW),Misc,,30.2,-2.6%
2017-11-13,Midwest (MW),Small,,5.7,21.1%
2017-11-13,Midwest (MW),Total,,338.4,-9.6%
2017-11-13,Midwest (MW),Ungraded,,90.3,-10.6%
2017-11-13,Northeast (NE),,Cage-Free,1.1,-54.7%
2017-11-13,Northeast (NE),,Organic,5.1,-39.5%
2017-11-13,Northeast (NE),,Specialty,5.9,36.4%
2017-11-13,Northeast (NE),Extra Large,,22.9,19.2%
2017-11-13,Northeast (NE),Jumbo,,8.1,-9.6%
2017-11-13,Northeast (NE),Large,,67.7,41.1%
2017-11-13,Northeast (NE),Medium,,13.9,-17.0%
2017-11-13,Northeast (NE),Misc,,2.4,-23.5%
2017-11-13,Northeast (NE),Small,,2.2,-30.1%
2017-11-13,Northeast (NE),Total,,126.7,12.2%
2017-11-13,Northeast (NE),Ungraded,,9.5,-30.4%
2017-11-13,Northwest (NW),,Cage-Free,0.0,
2017-11-13,Northwest (NW),,Organic,0.1,-72.7%
2017-11-13,Northwest (NW),,Specialty,2.1,-15.9%
2017-11-13,Northwest (NW),Extra Large,,8.9,-10.7%
2017-11-13,Northwest (NW),Jumbo,,6.3,21.8%
2017-11-13,Northwest (NW),Large,,61.9,4.2%
2017-11-13,Northwest (NW),Medium,,10.5,-13.3%
2017-11-13,Northwest (NW),Misc,,1.1,-20.0%
2017-11-13,Northwest (NW),Small,,0.1,
2017-11-13,Northwest (NW),Total,,101.6,2.3%
2017-11-13,Northwest (NW),Ungraded,,12.7,13.5%
2017-11-13,South Central (SC),,Cage-Free,14.0,129.8%
2017-11-13,South Central (SC),,Organic,9.7,53.3%
2017-11-13,South Central (SC),,Specialty,4.3,-39.8%
2017-11-13,South Central (SC),Extra Large,,27.4,-24.3%
2017-11-13,South Central (SC),Jumbo,,11.5,12.1%
2017-11-13,South Central (SC),Large,,147.6,-1.2%
2017-11-13,South Central (SC),Medium,,29.7,-4.1%
2017-11-13,South Central (SC),Misc,,23.6,30.9%
2017-11-13,South Central (SC),Small,,2.9,-38.6%
2017-11-13,South Central (SC),Total,,258.5,-3.6%
2017-11-13,South Central (SC),Ungraded,,15.7,-15.3%
2017-11-13,Southeast (SE),,Cage-Free,10.5,123.9%
2017-11-13,Southeast (SE),,Organic,9.9,-31.9%
2017-11-13,Southeast (SE),,Specialty,17.7,-8.6%
2017-11-13,Southeast (SE),Extra Large,,38.7,-4.1%
2017-11-13,Southeast (SE),Jumbo,,11.4,-0.5%
2017-11-13,Southeast (SE),Large,,142.5,1.3%
2017-11-13,Southeast (SE),Medium,,18.4,-7.7%
2017-11-13,Southeast (SE),Misc,,9.7,37.1%
2017-11-13,Southeast (SE),Small,,3.1,41.9%
2017-11-13,Southeast (SE),Total,,273.5,0.1%
2017-11-13,Southeast (SE),Ungraded,,49.7,-3.8%
2017-11-13,Southwest (SW),,Cage-Free,4.6,-3.6%
2017-11-13,Southwest (SW),,Organic,4.7,-18.2%
2017-11-13,Southwest (SW),,Specialty,1.4,-40.7%
2017-11-13,Southwest (SW),Extra Large,,27.5,-5.1%
2017-11-13,Southwest (SW),Jumbo,,7.1,16.9%
2017-11-13,Southwest (SW),Large,,89.9,-10.4%
2017-11-13,Southwest (SW),Medium,,23.7,-28.9%
2017-11-13,Southwest (SW),Misc,,4.3,-2.7%
2017-11-13,Southwest (SW),Small,,1.8,31.2%
2017-11-13,Southwest (SW),Total,,162.5,-10.8%
2017-11-13,Southwest (SW),Ungraded,,8.2,6.1%
2017-11-20,,Breaking Stock,,268.3,-6.6%
2017-11-20,6-Area,,Cage-Free,49.2,-6.4%
2017-11-20,6-Area,,Organic,58.8,-8.5%
2017-11-20,6-Area,,Specialty,29.3,-8.0%
2017-11-20,6-Area,Extra Large,,134.8,-13.8%
2017-11-20,6-Area,Jumbo,,56.5,-9.4%
2017-11-20,6-Area,Large,,547.2,-13.6%
2017-11-20,6-Area,Medium,,128.6,-5.5%
2017-11-20,6-Area,Misc,,61.7,-13.5%
2017-11-20,6-Area,Small,,16.7,4.8%
2017-11-20,6-Area,Total,,1113.0,-11.8%
2017-11-20,6-Area,Ungraded,,167.7,-9.9%
2017-11-20,Midwest (MW),,Cage-Free,22.1,-1.2%
2017-11-20,Midwest (MW),,Organic,35.8,2.9%
2017-11-20,Midwest (MW),,Specialty,0.2,-54.8%
2017-11-20,Midwest (MW),Extra Large,,29.5,-4.7%
2017-11-20,Midwest (MW),Jumbo,,18.4,3.9%
2017-11-20,Midwest (MW),Large,,99.3,-19.7%
2017-11-20,Midwest (MW),Medium,,40.7,1.8%
2017-11-20,Midwest (MW),Misc,,27.8,-7.8%
2017-11-20,Midwest (MW),Small,,7.0,22.1%
2017-11-20,Midwest (MW),Total,,304.2,-10.1%
2017-11-20,Midwest (MW),Ungraded,,81.5,-9.7%
2017-11-20,Northeast (NE),,Cage-Free,1.4,27.2%
2017-11-20,Northeast (NE),,Organic,4.4,-14.2%
2017-11-20,Northeast (NE),,Specialty,3.9,-33.2%
2017-11-20,Northeast (NE),Extra Large,,20.3,-11.5%
2017-11-20,Northeast (NE),Jumbo,,6.3,-22.0%
2017-11-20,Northeast (NE),Large,,51.2,-24.4%
2017-11-20,Northeast (NE),Medium,,12.5,-10.1%
2017-11-20,Northeast (NE),Misc,,2.0,-17.3%
