report_date,section,egg_type,environment,avg_price,wtd_avg_price,volume,avg_price_prev,wtd_avg_price_prev,price_unit,volume_unit
2025-08-18,Report Detail Weighted,Liquid Whites,Caged,,100.8,480000,,,cents per pound,Pounds
2025-08-18,Report Detail Weighted,Liquid Whites,Caged,,100.8,480000,,,cents per pound,Pounds
2025-08-18,Report Detail Weighted,Liquid Whites,Cage-Free,,105.0,48000,,,cents per pound,Pounds
2025-08-18,Report Detail Weighted,Liquid Whites,Cage-Free,,105.0,48000,,,cents per pound,Pounds
2025-08-18,Report Detail Weighted,Liquid Whole,Caged,,135.33,576000,,,cents per pound,Pounds
2025-08-18,Report Detail Weighted,Liquid Whole,Caged,,135.33,576000,,,cents per pound,Pounds
2025-08-18,Report Detail Weighted,Liquid Yolk,Caged,,357.83,288000,,,cents per pound,Pounds
2025-08-18,Report Detail Weighted,Liquid Yolk,Caged,,357.83,288000,,,cents per pound,Pounds
2025-08-25,Report Detail Weighted,Liquid Whites,Caged,,100.91,528000,,100.8,cents per pound,Pounds
2025-08-25,Report Detail Weighted,Liquid Whites,Caged,,100.91,528000,,100.8,cents per pound,Pounds
2025-08-25,Report Detail Weighted,Liquid Whites,Cage-Free,,104.0,48000,,105.0,cents per pound,Pounds
2025-08-25,Report Detail Weighted,Liquid Whites,Cage-Free,,104.0,48000,,105.0,cents per pound,Pounds
2025-08-25,Report Detail Weighted,Liquid Whole,Caged,,135.4,240000,,135.33,cents per pound,Pounds
2025-08-25,Report Detail Weighted,Liquid Whole,Caged,,135.4,240000,,135.33,cents per pound,Pounds
2025-08-25,Report Detail Weighted,Liquid Whole,Cage-Free,,132.44,384000,,,cents per pound,Pounds
2025-08-25,Report Detail Weighted,Liquid Whole,Cage-Free,,132.44,384000,,,cents per pound,Pounds
2025-08-25,Report Detail Weighted,Liquid Yolk,Caged,,,,,357.83,cents per pound,Pounds
2025-08-25,Report Detail Weighted,Liquid Yolk,Caged,,,,,357.83,cents per pound,Pounds
2025-09-01,Report Detail Simple,Dried Whole,Caged,12.57,,,,,Dollars per Pound,
2025-09-01,Report Detail Simple,Dried Whole,Caged,12.57,,,,,Dollars per Pound,
2025-09-01,Report Detail Simple,Dried Yolk,Caged,13.17,,,,,Dollars per Pound,
2025-09-01,Report Detail Simple,Dried Yolk,Caged,13.17,,,,,Dollars per Pound,
2025-09-01,Report Detail Simple,Frozen Whites,Caged,124.0,,,,,cents per pound,
2025-09-01,Report Detail Simple,Frozen Whites,Caged,124.0,,,,,cents per pound,
2025-09-01,Report Detail Simple,Frozen Whole,Caged,135.0,,,,,cents per pound,
2025-09-01,Report Detail Simple,Frozen Whole,Caged,135.0,,,,,cents per pound,
2025-09-01,Report Detail Weighted,Liquid Whites,Caged,,,,,100.91,cents per pound,Pounds
2025-09-01,Report Detail Weighted,Liquid Whites,Caged,,,,,100.91,cents per pound,Pounds
2025-09-01,Report Detail Weighted,Liquid Whites,Cage-Free,,105.0,96000,,104.0,cents per pound,Pounds
2025-09-01,Report Detail Weighted,Liquid Whites,Cage-Free,,105.0,96000,,104.0,cents per pound,Pounds
2025-09-01,Report Detail Weighted,Liquid Whole,Caged,,,,,135.4,cents per pound,Pounds
2025-09-01,Report Detail Weighted,Liquid Whole,Caged,,,,,135.4,cents per pound,Pounds
2025-09-01,Report Detail Weighted,Liquid Whole,Cage-Free,,130.0,48000,,132.44,cents per pound,Pounds
2025-09-01,Report Detail Weighted,Liquid Whole,Cage-Free,,130.0,48000,,132.44,cents per pound,Pounds
2025-09-01,Report Detail Weighted,Liquid Yolk,Caged,,357.0,48000,,,cents per pound,Pounds
2025-09-01,Report Detail Weighted,Liquid Yolk,Caged,,357.0,48000,,,cents per pound,Pounds
2025-09-08,Report Detail Simple,Dried Whole,Caged,12.82,,,12.57,,Dollars per Pound,
2025-09-08,Report Detail Simple,Dried Whole,Caged,12.82,,,12.57,,Dollars per Pound,
2025-09-08,Report Detail Simple,Dried Yolk,Caged,13.25,,,13.17,,Dollars per Pound,
2025-09-08,Report Detail Simple,Dried Yolk,Caged,13.25,,,13.17,,Dollars per Pound,
2025-09-08,Report Detail Simple,Frozen Sugar Yolk,Caged,365.83,,,,,cents per pound,
2025-09-08,Report Detail Simple,Frozen Sugar Yolk,Caged,365.83,,,,,cents per pound,
2025-09-08,Report Detail Simple,Frozen Whites,Caged,133.67,,,124.0,,cents per pound,
2025-09-08,Report Detail Simple,Frozen Whites,Caged,133.67,,,124.0,,cents per pound,
2025-09-08,Report Detail Simple,Frozen Whole,Caged,174.0,,,135.0,,cents per pound,
2025-09-08,Report Detail Simple,Frozen Whole,Caged,174.0,,,135.0,,cents per pound,
2025-09-08,Report Detail Weighted,Liquid Whites,Cage-Free,,106.0,48000,,105.0,cents per pound,Pounds
2025-09-08,Report Detail Weighted,Liquid Whites,Cage-Free,,106.0,48000,,105.0,cents per pound,Pounds
2025-09-08,Report Detail Weighted,Liquid Whole,Cage-Free,,,,,130.0,cents per pound,Pounds
2025-09-08,Report Detail Weighted,Liquid Whole,Cage-Free,,,,,130.0,cents per pound,Pounds
