report_date,class,period,volume
2019-04-29,Cases Broken,2018 Year to date,26393590.0
2019-04-29,Cases Broken,2019 Year to date,28002468.0
2019-04-29,Cases Broken,Current Week,1647099.0
2019-04-29,Cases Broken,LY % Change,0.0
2019-04-29,Cases Broken,Last Year,1546603.0
2019-04-29,Cases Broken,PW % Change,0.0
2019-04-29,Cases Broken,Previous Month Total,6197203.0
2019-04-29,Cases Broken,Prior Week,1556863.0
2019-04-29,Cases Broken,YTD % Change,0.0
2019-04-29,Dried,2018 Year to date,41153.0
2019-04-29,Dried,2019 Year to date,50191.0
2019-04-29,Dried,Current Week,2861.0
2019-04-29,Dried,LY % Change,0.0
2019-04-29,Dried,Last Year,1877.0
2019-04-29,Dried,PW % Change,0.0
2019-04-29,Dried,Previous Month Total,11427.0
2019-04-29,Dried,Prior Week,2978.0
2019-04-29,Dried,YTD % Change,0.0
2019-04-29,Inedible,2018 Year to date,85259.0
2019-04-29,Inedible,2019 Year to date,89531.0
2019-04-29,Inedible,Current Week,5461.0
2019-04-29,Inedible,LY % Change,0.0
2019-04-29,Inedible,Last Year,4940.0
2019-04-29,Inedible,PW % Change,0.0
2019-04-29,Inedible,Previous Month Total,19823.0
2019-04-29,Inedible,Prior Week,5114.0
2019-04-29,Inedible,YTD % Change,0.0
2019-04-29,Inline % of Total Cases Broken,2018 Year to date,0.0
2019-04-29,Inline % of Total Cases Broken,2019 Year to date,0.0
2019-04-29,Inline % of Total Cases Broken,Current Week,0.0
2019-04-29,Inline % of Total Cases Broken,Last Year,0.0
2019-04-29,Inline % of Total Cases Broken,Prior Week,0.0
2019-04-29,Inline % of Total Liquid Whole Egg,2018 Year to date,0.0
2019-04-29,Inline % of Total Liquid Whole Egg,2019 Year to date,0.0
2019-04-29,Inline % of Total Liquid Whole Egg,Current Week,0.0
2019-04-29,Inline % of Total Liquid Whole Egg,Last Year,0.0
2019-04-29,Inline % of Total Liquid Whole Egg,Prior Week,0.0
2019-04-29,Inline Cases Broken,% Change,0.0
2019-04-29,Inline Cases Broken,2018 Year to date,14221632.0
2019-04-29,Inline Cases Broken,2019 Year to date,15304310.0
2019-04-29,Inline Cases Broken,Current Week,880485.0
2019-04-29,Inline Cases Broken,Last Year,817377.0
2019-04-29,Inline Cases Broken,Prior Week,884625.0
2019-04-29,Inline Liquid Whole Egg,% Change,0.0
2019-04-29,Inline Liquid Whole Egg,2018 Year to date,342560.0
2019-04-29,Inline Liquid Whole Egg,2019 Year to date,345875.0
2019-04-29,Inline Liquid Whole Egg,Current Week,20117.0
2019-04-29,Inline Liquid Whole Egg,Last Year,20075.0
2019-04-29,Inline Liquid Whole Egg,Prior Week,19138.0
2019-04-29,Liquid White,2018 Year to date,249855.0
2019-04-29,Liquid White,2019 Year to date,285307.0
2019-04-29,Liquid White,Current Week,17739.0
2019-04-29,Liquid White,LY % Change,0.0
2019-04-29,Liquid White,Last Year,13707.0
2019-04-29,Liquid White,PW % Change,0.0
2019-04-29,Liquid White,Previous Month Total,66191.0
2019-04-29,Liquid White,Prior Week,17146.0
2019-04-29,Liquid White,YTD % Change,0.0
2019-04-29,Liquid Whole,2018 Year to date,649959.0
2019-04-29,Liquid Whole,2019 Year to date,656585.0
2019-04-29,Liquid Whole,Current Week,37699.0
2019-04-29,Liquid Whole,LY % Change,0.0
2019-04-29,Liquid Whole,Last Year,39657.0
