confirmation_date,state,county,flock_type,species,flock_size
2022-02-08,Indiana,Dubois,Commercial Turkey Meat Bird,,29000
2022-02-12,Kentucky,Fulton,Commercial Broiler Production,,231400
2022-02-12,Virginia,Fauquier,WOAH Non-Poultry,,90
2022-02-15,Kentucky,Webster,Commercial Turkey Meat Bird,,53300
2022-02-16,Indiana,Dubois,Commercial Turkey Meat Bird,,26600
2022-02-18,New York,Suffolk,WOAH Non-Poultry,,8
2022-02-19,Maine,Knox,WOAH Non-Poultry,,30
2022-02-22,Delaware,New Castle,Commercial Table Egg Layer,,1046900
2022-02-23,Indiana,Greene,Commercial Turkey Meat Bird,,48200
2022-02-23,Indiana,Greene,Commercial Turkey Meat Bird,,15400
2022-02-23,Maine,Knox,WOAH Non-Poultry,,100
2022-02-23,Michigan,Kalamazoo,WOAH Non-Poultry,,30
2022-02-24,Indiana,Dubois,Commercial Turkey Meat Bird,,36000
2022-02-24,New York,Ulster,WOAH Non-Poultry,,70
2022-02-24,New York,Dutchess,WOAH Non-Poultry,,200
2022-03-01,Connecticut,New London,WOAH Non-Poultry,,160
2022-03-01,Iowa,Pottawattamie,WOAH Non-Poultry,,40
2022-03-02,Indiana,Dubois,Commercial Turkey Meat Bird,,16500
2022-03-04,Maryland,Cecil,Commercial Table Egg Layer,,644000
2022-03-04,Missouri,Stoddard,Commercial Broiler Production,,294800
2022-03-04,Missouri,Bates,WOAH Non-Poultry,,50
2022-03-05,South Dakota,Charles Mix,Commercial Turkey Meat Bird,,44100
2022-03-06,Iowa,Buena Vista,Commercial Turkey Meat Bird,,49800
2022-03-08,Delaware,New Castle,Commercial Table Egg Pullets,,243900
2022-03-08,Maryland,Queen Anne's,Commercial Broiler Production,,139300
2022-03-08,Missouri,Jasper,Commercial Turkey Meat Bird,,25000
2022-03-09,Missouri,Lawrence,Commercial Turkey Breeder Replacement Hens,,37800
2022-03-10,Iowa,Taylor,Commercial Table Egg Layer,,915900
2022-03-10,Maryland,Cecil,Commercial Table Egg Layer,,663400
2022-03-11,Illinois,Mclean,WOAH Non-Poultry,,40
2022-03-11,Kansas,Franklin,WOAH Poultry,,260
2022-03-12,Maine,Lincoln,WOAH Non-Poultry,,100
2022-03-12,South Dakota,Charles Mix,Commercial Turkey Meat Bird,,37500
2022-03-14,Maine,York,WOAH Non-Poultry,,180
2022-03-14,Wisconsin,Jefferson,Commercial Table Egg Layer,,2750700
2022-03-15,Missouri,Ralls,WOAH Non-Poultry,,100
2022-03-15,Nebraska,Merrick,WOAH Non-Poultry,,90
2022-03-16,New Hampshire,Rockingham,WOAH Non-Poultry,,150
2022-03-17,Delaware,Kent,Commercial Broiler Production,,147800
2022-03-17,Iowa,Buena Vista,Commercial Table Egg Layer,,5347500
2022-03-17,Kansas,Sedgwick,WOAH Non-Poultry,,6
2022-03-17,Maine,Lincoln,WOAH Non-Poultry,,30
2022-03-18,Kansas,Dickinson,WOAH Poultry,,250
2022-03-18,Maryland,Cecil,Commercial Table Egg Pullets,,315400
2022-03-18,South Dakota,Hanson,Commercial Turkey Meat Bird,,20200
2022-03-18,South Dakota,Kingsbury,Commercial Turkey Meat Bird,,39200
2022-03-19,Maine,York,WOAH Non-Poultry,,70
2022-03-19,Maine,Knox,WOAH Non-Poultry,,20
2022-03-20,Iowa,Warren,WOAH Non-Poultry,,10
2022-03-20,South Dakota,Hutchinson,Commercial Turkey Meat Bird,,50400
2022-03-22,Maine,Cumberland,WOAH Poultry,,250
2022-03-22,Nebraska,Butler,Commercial Broiler Production,,570000
2022-03-22,South Dakota,Charles Mix,Commercial Turkey Meat Bird,,53800
2022-03-22,South Dakota,Hanson,Commercial Turkey Meat Bird,,94600
