year,reference_period,class,value,unit,agg_level,state_alpha
2010,APR,ALL CLASSES,7620000000.0,EGGS,NATIONAL,
2010,APR,TABLE,6536000000.0,EGGS,NATIONAL,
2010,APR,"HATCHING, BROILER TYPE",1010000000.0,EGGS,NATIONAL,
2010,APR,ALL CLASSES,182000000.0,EGGS,STATE,AL
2010,APR,TABLE,31000000.0,EGGS,STATE,AL
2010,APR,ALL CLASSES,248000000.0,EGGS,STATE,AR
2010,APR,TABLE,78000000.0,EGGS,STATE,AR
2010,APR,ALL CLASSES,431000000.0,EGGS,STATE,CA
2010,APR,TABLE,,EGGS,STATE,CA
2010,APR,ALL CLASSES,89000000.0,EGGS,STATE,CO
2010,APR,TABLE,,EGGS,STATE,CO
2010,APR,ALL CLASSES,60000000.0,EGGS,STATE,CT
2010,APR,TABLE,,EGGS,STATE,CT
2010,APR,ALL CLASSES,210000000.0,EGGS,STATE,FL
2010,APR,TABLE,206000000.0,EGGS,STATE,FL
2010,APR,ALL CLASSES,374000000.0,EGGS,STATE,GA
2010,APR,TABLE,206000000.0,EGGS,STATE,GA
2010,APR,ALL CLASSES,6000000.0,EGGS,STATE,HI
2010,APR,TABLE,6000000.0,EGGS,STATE,HI
2010,APR,ALL CLASSES,1253000000.0,EGGS,STATE,IA
2010,APR,TABLE,1239000000.0,EGGS,STATE,IA
2010,APR,ALL CLASSES,105000000.0,EGGS,STATE,IL
2010,APR,TABLE,102000000.0,EGGS,STATE,IL
2010,APR,ALL CLASSES,543000000.0,EGGS,STATE,IN
2010,APR,TABLE,529000000.0,EGGS,STATE,IN
2010,APR,ALL CLASSES,50000000.0,EGGS,STATE,MD
2010,APR,TABLE,49000000.0,EGGS,STATE,MD
2010,APR,ALL CLASSES,87000000.0,EGGS,STATE,ME
2010,APR,TABLE,,EGGS,STATE,ME
2010,APR,ALL CLASSES,259000000.0,EGGS,STATE,MI
2010,APR,TABLE,,EGGS,STATE,MI
2010,APR,ALL CLASSES,231000000.0,EGGS,STATE,MN
2010,APR,TABLE,223000000.0,EGGS,STATE,MN
2010,APR,ALL CLASSES,166000000.0,EGGS,STATE,MO
2010,APR,TABLE,,EGGS,STATE,MO
2010,APR,ALL CLASSES,120000000.0,EGGS,STATE,MS
2010,APR,TABLE,34000000.0,EGGS,STATE,MS
2010,APR,ALL CLASSES,270000000.0,EGGS,STATE,NC
2010,APR,TABLE,138000000.0,EGGS,STATE,NC
2010,APR,ALL CLASSES,225000000.0,EGGS,STATE,NE
2010,APR,TABLE,225000000.0,EGGS,STATE,NE
2010,APR,ALL CLASSES,91000000.0,EGGS,STATE,NY
2010,APR,TABLE,,EGGS,STATE,NY
