year,reference_period,data_item,value,unit
2010,APR,"CHICKENS, BROILERS - PRICE RECEIVED, MEASURED IN $ / LB",0.49,$ / LB
2010,APR,"EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN",0.769,$ / DOZEN
2010,AUG,"CHICKENS, BROILERS - PRICE RECEIVED, MEASURED IN $ / LB",0.49,$ / LB
2010,AUG,"EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN",0.79,$ / DOZEN
2010,DEC,"CHICKENS, BROILERS - PRICE RECEIVED, MEASURED IN $ / LB",0.45,$ / LB
2010,DEC,"EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN",1.07,$ / DOZEN
2010,FEB,"CHICKENS, BROILERS - PRICE RECEIVED, MEASURED IN $ / LB",0.48,$ / LB
2010,FEB,"EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN",0.92,$ / DOZEN
2010,JAN,"CHICKENS, BROILERS - PRICE RECEIVED, MEASURED IN $ / LB",0.48,$ / LB
2010,JAN,"EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN",1.03,$ / DOZEN
2010,JUL,"CHICKENS, BROILERS - PRICE RECEIVED, MEASURED IN $ / LB",0.52,$ / LB
2010,JUL,"EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN",0.71,$ / DOZEN
2010,JUN,"CHICKENS, BROILERS - PRICE RECEIVED, MEASURED IN $ / LB",0.52,$ / LB
2010,JUN,"EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN",0.618,$ / DOZEN
2010,MAR,"CHICKENS, BROILERS - PRICE RECEIVED, MEASURED IN $ / LB",0.5,$ / LB
2010,MAR,"EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN",1.16,$ / DOZEN
2010,MAY,"CHICKENS, BROILERS - PRICE RECEIVED, MEASURED IN $ / LB",0.52,$ / LB
2010,MAY,"EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN",0.636,$ / DOZEN
2010,NOV,"CHICKENS, BROILERS - PRICE RECEIVED, MEASURED IN $ / LB",0.48,$ / LB
2010,NOV,"EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN",1.13,$ / DOZEN
2010,OCT,"CHICKENS, BROILERS - PRICE RECEIVED, MEASURED IN $ / LB",0.48,$ / LB
2010,OCT,"EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN",0.814,$ / DOZEN
2010,SEP,"CHICKENS, BROILERS - PRICE RECEIVED, MEASURED IN $ / LB",0.49,$ / LB
2010,SEP,"EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN",0.635,$ / DOZEN
2010,YEAR,"CHICKENS, BROILERS - PRICE RECEIVED, MEASURED IN $ / LB",0.492,$ / LB
2010,YEAR,"EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN",0.857,$ / DOZEN
2011,APR,"CHICKENS, BROILERS - PRICE RECEIVED, MEASURED IN $ / LB",0.48,$ / LB
2011,APR,"EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN",1.05,$ / DOZEN
2011,AUG,"CHICKENS, BROILERS - PRICE RECEIVED, MEASURED IN $ / LB",0.47,$ / LB
2011,AUG,"EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN",1.14,$ / DOZEN
2011,DEC,"CHICKENS, BROILERS - PRICE RECEIVED, MEASURED IN $ / LB",0.46,$ / LB
2011,DEC,"EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN",1.22,$ / DOZEN
2011,FEB,"CHICKENS, BROILERS - PRICE RECEIVED, MEASURED IN $ / LB",0.43,$ / LB
2011,FEB,"EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN",0.949,$ / DOZEN
2011,JAN,"CHICKENS, BROILERS - PRICE RECEIVED, MEASURED IN $ / LB",0.44,$ / LB
2011,JAN,"EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN",0.848,$ / DOZEN
2011,JUL,"CHICKENS, BROILERS - PRICE RECEIVED, MEASURED IN $ / LB",0.47,$ / LB
2011,JUL,"EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN",0.878,$ / DOZEN
2011,JUN,"CHICKENS, BROILERS - PRICE RECEIVED, MEASURED IN $ / LB",0.49,$ / LB
2011,JUN,"EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN",0.884,$ / DOZEN
2011,MAR,"CHICKENS, BROILERS - PRICE RECEIVED, MEASURED IN $ / LB",0.48,$ / LB
2011,MAR,"EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN",0.843,$ / DOZEN
2011,MAY,"CHICKENS, BROILERS - PRICE RECEIVED, MEASURED IN $ / LB",0.49,$ / LB
2011,MAY,"EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN",0.821,$ / DOZEN
2011,NOV,"CHICKENS, BROILERS - PRICE RECEIVED, MEASURED IN $ / LB",0.45,$ / LB
2011,NOV,"EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN",1.02,$ / DOZEN
2011,OCT,"CHICKENS, BROILERS - PRICE RECEIVED, MEASURED IN $ / LB",0.42,$ / LB
2011,OCT,"EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN",1.02,$ / DOZEN
2011,SEP,"CHICKENS, BROILERS - PRICE RECEIVED, MEASURED IN $ / LB",0.43,$ / LB
2011,SEP,"EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN",0.944,$ / DOZEN
2011,YEAR,"CHICKENS, BROILERS - PRICE RECEIVED, MEASURED IN $ / LB",0.459,$ / LB
2011,YEAR,"EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN",0.968,$ / DOZEN
2012,APR,"CHICKENS, BROILERS - PRICE RECEIVED, MEASURED IN $ / LB",0.5,$ / LB
2012,APR,"EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN",0.862,$ / DOZEN
2012,AUG,"CHICKENS, BROILERS - PRICE RECEIVED, MEASURED IN $ / LB",0.48,$ / LB
2012,AUG,"EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN",1.12,$ / DOZEN
2012,DEC,"CHICKENS, BROILERS - PRICE RECEIVED, MEASURED IN $ / LB",0.59,$ / LB
2012,DEC,"EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN",1.12,$ / DOZEN
2012,FEB,"CHICKENS, BROILERS - PRICE RECEIVED, MEASURED IN $ / LB",0.51,$ / LB
2012,FEB,"EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN",0.887,$ / DOZEN
2012,JAN,"CHICKENS, BROILERS - PRICE RECEIVED, MEASURED IN $ / LB",0.47,$ / LB
2012,JAN,"EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN",0.881,$ / DOZEN
2012,JUL,"CHICKENS, BROILERS - PRICE RECEIVED, MEASURED IN $ / LB",0.47,$ / LB
2012,JUL,"EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN",0.967,$ / DOZEN
2012,JUN,"CHICKENS, BROILERS - PRICE RECEIVED, MEASURED IN $ / LB",0.5,$ / LB
2012,JUN,"EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN",0.905,$ / DOZEN
2012,MAR,"CHICKENS, BROILERS - PRICE RECEIVED, MEASURED IN $ / LB",0.56,$ / LB
2012,MAR,"EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN",0.99,$ / DOZEN
2012,MAY,"CHICKENS, BROILERS - PRICE RECEIVED, MEASURED IN $ / LB",0.52,$ / LB
2012,MAY,"EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN",0.826,$ / DOZEN
2012,NOV,"CHICKENS, BROILERS - PRICE RECEIVED, MEASURED IN $ / LB",0.56,$ / LB
2012,NOV,"EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN",1.18,$ / DOZEN
2012,OCT,"CHICKENS, BROILERS - PRICE RECEIVED, MEASURED IN $ / LB",0.49,$ / LB
2012,OCT,"EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN",1.02,$ / DOZEN
2012,SEP,"CHICKENS, BROILERS - PRICE RECEIVED, MEASURED IN $ / LB",0.48,$ / LB
2012,SEP,"EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN",1.22,$ / DOZEN
2012,YEAR,"CHICKENS, BROILERS - PRICE RECEIVED, MEASURED IN $ / LB",0.511,$ / LB
2012,YEAR,"EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN",0.998,$ / DOZEN
2013,APR,"CHICKENS, BROILERS - PRICE RECEIVED, MEASURED IN $ / LB",0.66,$ / LB
2013,APR,"EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN",0.877,$ / DOZEN
2013,AUG,"CHICKENS, BROILERS - PRICE RECEIVED, MEASURED IN $ / LB",0.54,$ / LB
2013,AUG,"EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN",1.07,$ / DOZEN
2013,DEC,"CHICKENS, BROILERS - PRICE RECEIVED, MEASURED IN $ / LB",0.56,$ / LB
2013,DEC,"EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN",1.37,$ / DOZEN
2013,FEB,"CHICKENS, BROILERS - PRICE RECEIVED, MEASURED IN $ / LB",0.62,$ / LB
2013,FEB,"EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN",0.989,$ / DOZEN
2013,JAN,"CHICKENS, BROILERS - PRICE RECEIVED, MEASURED IN $ / LB",0.62,$ / LB
2013,JAN,"EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN",1.06,$ / DOZEN
2013,JUL,"CHICKENS, BROILERS - PRICE RECEIVED, MEASURED IN $ / LB",0.6,$ / LB
2013,JUL,"EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN",1.03,$ / DOZEN
2013,JUN,"CHICKENS, BROILERS - PRICE RECEIVED, MEASURED IN $ / LB",0.67,$ / LB
2013,JUN,"EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN",0.924,$ / DOZEN
2013,MAR,"CHICKENS, BROILERS - PRICE RECEIVED, MEASURED IN $ / LB",0.66,$ / LB
2013,MAR,"EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN",1.14,$ / DOZEN
2013,MAY,"CHICKENS, BROILERS - PRICE RECEIVED, MEASURED IN $ / LB",0.68,$ / LB
2013,MAY,"EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN",1.17,$ / DOZEN
2013,NOV,"CHICKENS, BROILERS - PRICE RECEIVED, MEASURED IN $ / LB",0.56,$ / LB
2013,NOV,"EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN",1.32,$ / DOZEN
2013,OCT,"CHICKENS, BROILERS - PRICE RECEIVED, MEASURED IN $ / LB",0.53,$ / LB
2013,OCT,"EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN",1.04,$ / DOZEN
2013,SEP,"CHICKENS, BROILERS - PRICE RECEIVED, MEASURED IN $ / LB",0.55,$ / LB
2013,SEP,"EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN",1.03,$ / DOZEN
2013,YEAR,"CHICKENS, BROILERS - PRICE RECEIVED, MEASURED IN $ / LB",0.604,$ / LB
2013,YEAR,"EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN",1.09,$ / DOZEN
2014,APR,"CHICKENS, BROILERS - PRICE RECEIVED, MEASURED IN $ / LB",0.68,$ / LB
