year,reference_period,class,value,agg_level
2010,APR,LAYERS,2220.0,NATIONAL
2010,APR,LAYERS,1847.0,STATE
2010,APR,LAYERS,1973.0,STATE
2010,APR,LAYERS,2254.0,STATE
2010,APR,LAYERS,2363.0,STATE
2010,APR,LAYERS,2301.0,STATE
2010,APR,LAYERS,2238.0,STATE
2010,APR,LAYERS,2113.0,STATE
2010,APR,LAYERS,1796.0,STATE
2010,APR,LAYERS,2263.0,STATE
2010,APR,LAYERS,2272.0,STATE
2010,APR,LAYERS,2292.0,STATE
2010,APR,LAYERS,2219.0,STATE
2010,APR,LAYERS,2397.0,STATE
2010,APR,LAYERS,2417.0,STATE
2010,APR,LAYERS,2231.0,STATE
2010,APR,LAYERS,2263.0,STATE
2010,APR,LAYERS,1969.0,STATE
2010,APR,LAYERS,1987.0,STATE
2010,APR,LAYERS,2389.0,STATE
2010,APR,LAYERS,2403.0,STATE
2010,APR,LAYERS,2217.0,STATE
2010,APR,LAYERS,2419.0,STATE
2010,APR,LAYERS,2120.0,STATE
2010,APR,LAYERS,2426.0,STATE
2010,APR,LAYERS,2089.0,STATE
2010,APR,LAYERS,2273.0,STATE
2010,APR,LAYERS,2184.0,STATE
2010,APR,LAYERS,2195.0,STATE
2010,APR,LAYERS,1990.0,STATE
2010,APR,LAYERS,2317.0,STATE
2010,APR,LAYERS,2280.0,STATE
2010,APR,"LAYERS, TABLE",2302.0,NATIONAL
2010,AUG,LAYERS,2283.0,NATIONAL
2010,AUG,LAYERS,1953.0,STATE
2010,AUG,LAYERS,2033.0,STATE
2010,AUG,LAYERS,2355.0,STATE
2010,AUG,LAYERS,2524.0,STATE
2010,AUG,LAYERS,2464.0,STATE
2010,AUG,LAYERS,2283.0,STATE
2010,AUG,LAYERS,2146.0,STATE
2010,AUG,LAYERS,1795.0,STATE
2010,AUG,LAYERS,2269.0,STATE
2010,AUG,LAYERS,2385.0,STATE
2010,AUG,LAYERS,2330.0,STATE
2010,AUG,LAYERS,2381.0,STATE
2010,AUG,LAYERS,2492.0,STATE
2010,AUG,LAYERS,2484.0,STATE
2010,AUG,LAYERS,2338.0,STATE
2010,AUG,LAYERS,2329.0,STATE
2010,AUG,LAYERS,2020.0,STATE
2010,AUG,LAYERS,2110.0,STATE
2010,AUG,LAYERS,2506.0,STATE
2010,AUG,LAYERS,2480.0,STATE
2010,AUG,LAYERS,2303.0,STATE
2010,AUG,LAYERS,2488.0,STATE
2010,AUG,LAYERS,2185.0,STATE
2010,AUG,LAYERS,2445.0,STATE
2010,AUG,LAYERS,2096.0,STATE
2010,AUG,LAYERS,2365.0,STATE
2010,AUG,LAYERS,2246.0,STATE
2010,AUG,LAYERS,2269.0,STATE
2010,AUG,LAYERS,2073.0,STATE
2010,AUG,LAYERS,2420.0,STATE
2010,AUG,LAYERS,2346.0,STATE
2010,AUG,"LAYERS, TABLE",2357.0,NATIONAL
2010,DEC,LAYERS,2310.0,NATIONAL
2010,DEC,LAYERS,1953.0,STATE
2010,DEC,LAYERS,2022.0,STATE
2010,DEC,LAYERS,2316.0,STATE
2010,DEC,LAYERS,2453.0,STATE
2010,DEC,LAYERS,2328.0,STATE
2010,DEC,LAYERS,2430.0,STATE
2010,DEC,LAYERS,2240.0,STATE
2010,DEC,LAYERS,2299.0,STATE
2010,DEC,LAYERS,2391.0,STATE
2010,DEC,LAYERS,2348.0,STATE
2010,DEC,LAYERS,2351.0,STATE
2010,DEC,LAYERS,2407.0,STATE
2010,DEC,LAYERS,2451.0,STATE
2010,DEC,LAYERS,2412.0,STATE
2010,DEC,LAYERS,2270.0,STATE
2010,DEC,LAYERS,2033.0,STATE
2010,DEC,LAYERS,2077.0,STATE
2010,DEC,LAYERS,2476.0,STATE
2010,DEC,LAYERS,2514.0,STATE
2010,DEC,LAYERS,2378.0,STATE
2010,DEC,LAYERS,2468.0,STATE
2010,DEC,LAYERS,2185.0,STATE
2010,DEC,LAYERS,2488.0,STATE
2010,DEC,LAYERS,2272.0,STATE
2010,DEC,LAYERS,2473.0,STATE
2010,DEC,LAYERS,2331.0,STATE
2010,DEC,LAYERS,2356.0,STATE
2010,DEC,LAYERS,2101.0,STATE
2010,DEC,LAYERS,2418.0,STATE
2010,DEC,LAYERS,2394.0,STATE
2010,DEC,"LAYERS, TABLE",2398.0,NATIONAL
2010,FEB,LAYERS,2037.0,NATIONAL
2010,FEB,LAYERS,1653.0,STATE
2010,FEB,LAYERS,1788.0,STATE
2010,FEB,LAYERS,2104.0,STATE
2010,FEB,LAYERS,2240.0,STATE
2010,FEB,LAYERS,2083.0,STATE
2010,FEB,LAYERS,2080.0,STATE
2010,FEB,LAYERS,1979.0,STATE
2010,FEB,LAYERS,1694.0,STATE
2010,FEB,LAYERS,2026.0,STATE
2010,FEB,LAYERS,2171.0,STATE
2010,FEB,LAYERS,2091.0,STATE
2010,FEB,LAYERS,2123.0,STATE
2010,FEB,LAYERS,2194.0,STATE
2010,FEB,LAYERS,2152.0,STATE
2010,FEB,LAYERS,2119.0,STATE
2010,FEB,LAYERS,2085.0,STATE
2010,FEB,LAYERS,1819.0,STATE
2010,FEB,LAYERS,1871.0,STATE
2010,FEB,LAYERS,2186.0,STATE
2010,FEB,LAYERS,2208.0,STATE
2010,FEB,LAYERS,2041.0,STATE
2010,FEB,LAYERS,2167.0,STATE
2010,FEB,LAYERS,1953.0,STATE
2010,FEB,LAYERS,2230.0,STATE
2010,FEB,LAYERS,1912.0,STATE
2010,FEB,LAYERS,2178.0,STATE
2010,FEB,LAYERS,2041.0,STATE
2010,FEB,LAYERS,1958.0,STATE
2010,FEB,LAYERS,1818.0,STATE
2010,FEB,LAYERS,2031.0,STATE
2010,FEB,LAYERS,2069.0,STATE
2010,FEB,"LAYERS, TABLE",2107.0,NATIONAL
2010,FIRST OF APR,LAYERS,74.7,NATIONAL
2010,FIRST OF APR,"LAYERS, TABLE",77.6,NATIONAL
2010,FIRST OF AUG,LAYERS,73.3,NATIONAL
2010,FIRST OF AUG,"LAYERS, TABLE",75.7,NATIONAL
2010,FIRST OF DEC,LAYERS,74.9,NATIONAL
2010,FIRST OF DEC,"LAYERS, TABLE",77.8,NATIONAL
2010,FIRST OF FEB,LAYERS,72.5,NATIONAL
2010,FIRST OF FEB,"LAYERS, TABLE",74.8,NATIONAL
2010,FIRST OF JAN,LAYERS,73.8,NATIONAL
2010,FIRST OF JAN,"LAYERS, TABLE",76.3,NATIONAL
2010,FIRST OF JUL,LAYERS,73.3,NATIONAL
2010,FIRST OF JUL,"LAYERS, TABLE",75.8,NATIONAL
2010,FIRST OF JUN,LAYERS,73.4,NATIONAL
2010,FIRST OF JUN,"LAYERS, TABLE",76.0,NATIONAL
2010,FIRST OF MAR,LAYERS,73.0,NATIONAL
2010,FIRST OF MAR,"LAYERS, TABLE",75.7,NATIONAL
2010,FIRST OF MAY,LAYERS,73.2,NATIONAL
2010,FIRST OF MAY,"LAYERS, TABLE",75.8,NATIONAL
2010,FIRST OF NOV,LAYERS,73.8,NATIONAL
