report_date,region,class,price_low,price_high,avg_price,avg_price_prev,price_unit
2025-01-27,Midwest,Extra Large,746.0,754.0,750.0,,Cents Per Dozen
2025-01-27,Midwest,Extra Large,739.0,748.0,743.5,,Cents Per Dozen
2025-01-27,Midwest,Large,744.0,752.0,748.0,,Cents Per Dozen
2025-01-27,Midwest,Large,720.0,730.0,725.0,,Cents Per Dozen
2025-01-27,Midwest,Large,738.0,747.0,742.5,,Cents Per Dozen
2025-01-27,Midwest,Medium,639.0,647.0,643.0,,Cents Per Dozen
2025-01-27,Midwest,Medium,615.0,619.0,617.0,,Cents Per Dozen
2025-01-27,Midwest,Medium,633.0,642.0,637.5,,Cents Per Dozen
2025-01-27,Midwest,Small,254.0,260.0,257.0,,Cents Per Dozen
2025-01-27,National,Extra Large,739.0,766.0,753.63,,Cents Per Dozen
2025-01-27,National,Large,738.0,765.0,751.69,,Cents Per Dozen
2025-01-27,National,Medium,633.0,658.0,646.0,,Cents Per Dozen
2025-01-27,Northeast,Extra Large,743.0,757.0,750.0,,Cents Per Dozen
2025-01-27,Northeast,Large,740.0,754.0,747.0,,Cents Per Dozen
2025-01-27,Northeast,Medium,635.0,648.0,641.5,,Cents Per Dozen
2025-01-27,South Central,Extra Large,757.5,766.0,761.75,,Cents Per Dozen
2025-01-27,South Central,Large,756.5,765.0,760.75,,Cents Per Dozen
2025-01-27,South Central,Medium,649.5,658.0,653.75,,Cents Per Dozen
2025-01-27,Southeast,Extra Large,755.5,763.0,759.25,,Cents Per Dozen
2025-01-27,Southeast,Large,753.0,760.0,756.5,,Cents Per Dozen
2025-01-27,Southeast,Medium,647.5,655.0,651.25,,Cents Per Dozen
2025-02-03,Midwest,Extra Large,780.0,788.0,784.0,750.0,Cents Per Dozen
2025-02-03,Midwest,Extra Large,773.0,782.0,777.5,743.5,Cents Per Dozen
2025-02-03,Midwest,Large,778.0,786.0,782.0,748.0,Cents Per Dozen
2025-02-03,Midwest,Large,754.0,764.0,759.0,725.0,Cents Per Dozen
2025-02-03,Midwest,Large,772.0,781.0,776.5,742.5,Cents Per Dozen
2025-02-03,Midwest,Medium,674.0,682.0,678.0,643.0,Cents Per Dozen
2025-02-03,Midwest,Medium,650.0,654.0,652.0,617.0,Cents Per Dozen
2025-02-03,Midwest,Medium,668.0,677.0,672.5,637.5,Cents Per Dozen
2025-02-03,Midwest,Small,254.0,260.0,257.0,257.0,Cents Per Dozen
2025-02-03,National,Extra Large,773.0,800.0,787.63,753.63,Cents Per Dozen
2025-02-03,National,Large,772.0,799.0,785.69,751.69,Cents Per Dozen
2025-02-03,National,Medium,668.0,693.0,681.0,646.0,Cents Per Dozen
2025-02-03,Northeast,Extra Large,777.0,791.0,784.0,750.0,Cents Per Dozen
2025-02-03,Northeast,Large,774.0,788.0,781.0,747.0,Cents Per Dozen
2025-02-03,Northeast,Medium,670.0,683.0,676.5,641.5,Cents Per Dozen
2025-02-03,South Central,Extra Large,791.5,800.0,795.75,761.75,Cents Per Dozen
2025-02-03,South Central,Large,790.5,799.0,794.75,760.75,Cents Per Dozen
2025-02-03,South Central,Medium,684.5,693.0,688.75,653.75,Cents Per Dozen
