report_date,region,stores,feature_rate,activity_index,last_week_feature,last_year_feature,last_week_activity,last_year_activity
2010-01-08,Midwest,3200,91.7,8660.0,94.2,87.2,8170.0,9210.0
2010-01-08,National,19200,96.3,87600.0,86.7,89.5,75820.0,61130.0
2010-01-08,Northeast,4000,98.5,18410.0,81.8,95.3,14830.0,17000.0
2010-01-08,Northwest,1000,99.3,4160.0,99.3,65.2,5060.0,2040.0
2010-01-08,Southcentral,3500,97.0,10200.0,93.7,89.1,7400.0,9410.0
2010-01-08,Southeast,5100,97.7,17100.0,74.6,96.6,7370.0,18710.0
2010-01-08,Southwest,2400,93.5,9450.0,94.6,77.0,12690.0,5480.0
2010-01-15,Midwest,3200,89.2,8730.0,91.7,90.6,8660.0,7500.0
2010-01-15,National,19200,94.6,81650.0,96.3,94.3,87600.0,62480.0
2010-01-15,Northeast,4000,98.7,18320.0,98.5,95.9,18410.0,17500.0
2010-01-15,Northwest,1000,95.5,3340.0,99.3,97.5,4160.0,3500.0
2010-01-15,Southcentral,3500,92.4,9360.0,97.0,91.3,10200.0,10970.0
2010-01-15,Southeast,5100,96.3,15540.0,97.7,96.1,17100.0,13760.0
2010-01-15,Southwest,2400,94.5,9170.0,93.5,95.9,9450.0,10060.0
2010-01-22,Midwest,3200,95.5,9070.0,89.2,91.1,8730.0,9090.0
2010-01-22,National,19200,97.3,91130.0,94.6,94.1,81650.0,58900.0
2010-01-22,Northeast,4000,99.3,22490.0,98.7,97.8,18320.0,16640.0
2010-01-22,Northwest,1000,99.6,4050.0,95.5,97.5,3340.0,3950.0
2010-01-22,Southcentral,3500,96.8,9300.0,92.4,92.3,9360.0,9490.0
2010-01-22,Southeast,5100,97.8,14670.0,96.3,96.2,15540.0,14130.0
2010-01-22,Southwest,2400,95.2,9650.0,94.5,88.5,9170.0,8450.0
2010-01-29,Midwest,3200,96.1,7920.0,95.5,94.7,9070.0,8570.0
2010-01-29,National,19200,95.9,80100.0,97.3,95.9,91130.0,60840.0
2010-01-29,Northeast,4000,99.5,17770.0,99.3,96.1,22490.0,19130.0
2010-01-29,Northwest,1000,80.8,3280.0,99.6,96.9,4050.0,3470.0
2010-01-29,Southcentral,3500,95.8,7810.0,96.8,94.3,9300.0,11230.0
2010-01-29,Southeast,5100,97.2,13720.0,97.8,97.1,14670.0,11780.0
2010-01-29,Southwest,2400,93.9,9050.0,95.2,96.2,9650.0,7530.0
2010-02-05,Midwest,3200,95.7,6750.0,96.1,97.8,7920.0,9110.0
2010-02-05,National,19200,95.5,88820.0,95.9,97.9,80100.0,68750.0
2010-02-05,Northeast,4000,97.6,18140.0,99.5,100.0,17770.0,17070.0
2010-02-05,Northwest,1000,99.6,3620.0,80.8,93.8,3280.0,3870.0
2010-02-05,Southcentral,3500,93.6,9780.0,95.8,95.4,7810.0,10840.0
2010-02-05,Southeast,5100,95.3,13230.0,97.2,99.5,13720.0,18760.0
2010-02-05,Southwest,2400,93.3,7710.0,93.9,96.2,9050.0,9740.0
2010-02-12,Midwest,3200,91.2,7330.0,95.7,88.6,6750.0,9420.0
2010-02-12,National,19200,93.1,77020.0,95.5,93.4,88820.0,67560.0
2010-02-12,Northeast,4000,98.9,18710.0,97.6,97.3,18140.0,18310.0
