report_date,region,stores,feature_rate,activity_index,last_week_feature,last_year_feature,last_week_activity,last_year_activity
2010-01-08,Midwest,3200,22.6,1480.0,36.4,25.1,2250.0,1460.0
2010-01-08,National,19200,35.6,7780.0,23.6,38.0,6420.0,6500.0
2010-01-08,Northeast,4000,35.1,1640.0,28.6,38.2,1250.0,1130.0
2010-01-08,Northwest,1000,49.7,1000.0,45.3,30.5,720.0,320.0
2010-01-08,Southcentral,3500,45.1,1800.0,10.1,35.4,410.0,1490.0
2010-01-08,Southeast,5100,35.2,900.0,18.5,36.0,950.0,890.0
2010-01-08,Southwest,2400,34.6,960.0,18.6,65.8,840.0,1210.0
2010-01-15,Midwest,3200,23.7,1110.0,22.6,25.4,1480.0,1020.0
2010-01-15,National,19200,26.8,6190.0,35.6,25.8,7780.0,5320.0
2010-01-15,Northeast,4000,52.0,2890.0,35.1,34.4,1640.0,1440.0
2010-01-15,Northwest,1000,44.4,600.0,49.7,24.9,1000.0,400.0
2010-01-15,Southcentral,3500,21.0,750.0,45.1,24.1,1800.0,630.0
2010-01-15,Southeast,5100,6.7,440.0,35.2,18.0,900.0,920.0
2010-01-15,Southwest,2400,31.8,400.0,34.6,31.2,960.0,910.0
2010-01-22,Midwest,3200,21.3,1280.0,23.7,25.1,1110.0,940.0
2010-01-22,National,19200,30.6,7220.0,26.8,27.9,6190.0,5460.0
2010-01-22,Northeast,4000,34.9,2170.0,52.0,49.0,2890.0,2140.0
2010-01-22,Northwest,1000,50.6,830.0,44.4,28.8,600.0,460.0
2010-01-22,Southcentral,3500,22.6,800.0,21.0,18.4,750.0,780.0
2010-01-22,Southeast,5100,33.2,1630.0,6.7,20.4,440.0,570.0
2010-01-22,Southwest,2400,33.0,510.0,31.8,24.3,400.0,570.0
2010-01-29,Midwest,3200,29.9,930.0,21.3,28.7,1280.0,900.0
2010-01-29,National,19200,33.7,8110.0,30.6,23.1,7220.0,4020.0
2010-01-29,Northeast,4000,43.1,3510.0,34.9,34.4,2170.0,1050.0
2010-01-29,Northwest,1000,56.5,820.0,50.6,23.7,830.0,290.0
2010-01-29,Southcentral,3500,29.0,820.0,22.6,23.7,800.0,780.0
2010-01-29,Southeast,5100,20.9,1260.0,33.2,13.9,1630.0,650.0
2010-01-29,Southwest,2400,47.4,770.0,33.0,15.1,510.0,350.0
2010-02-05,Midwest,3200,15.6,400.0,29.9,24.5,930.0,880.0
2010-02-05,National,19200,21.8,4780.0,33.7,48.1,8110.0,6950.0
2010-02-05,Northeast,4000,42.2,2250.0,43.1,50.6,3510.0,2040.0
2010-02-05,Northwest,1000,46.9,520.0,56.5,75.6,820.0,270.0
2010-02-05,Southcentral,3500,11.4,460.0,29.0,37.6,820.0,1140.0
2010-02-05,Southeast,5100,6.6,320.0,20.9,62.7,1260.0,1940.0
2010-02-05,Southwest,2400,32.2,830.0,47.4,47.6,770.0,680.0
2010-02-12,Midwest,3200,11.7,1140.0,15.6,55.4,400.0,2320.0
2010-02-12,National,19200,21.4,6070.0,21.8,41.7,4780.0,10430.0
2010-02-12,Northeast,4000,26.1,1430.0,42.2,34.1,2250.0,2390.0
2010-02-12,Northwest,1000,30.3,430.0,46.9,30.7,520.0,430.0
2010-02-12,Southcentral,3500,25.7,1340.0,11.4,40.0,460.0,1580.0
2010-02-12,Southeast,5100,12.8,980.0,6.6,39.7,320.0,2650.0
2010-02-12,Southwest,2400,35.1,750.0,32.2,47.7,830.0,1060.0
2010-02-19,Midwest,3200,47.9,1670.0,11.7,20.3,1140.0,840.0
2010-02-19,National,19200,36.1,7530.0,21.4,33.6,6070.0,8400.0
2010-02-19,Northeast,4000,50.1,2630.0,26.1,41.7,1430.0,2110.0
2010-02-19,Northwest,1000,9.9,120.0,30.3,36.8,430.0,480.0
2010-02-19,Southcentral,3500,16.4,650.0,25.7,37.4,1340.0,1440.0
2010-02-19,Southeast,5100,37.9,1500.0,12.8,31.1,980.0,2500.0
2010-02-19,Southwest,2400,33.2,960.0,35.1,35.9,750.0,1030.0
2010-02-26,Midwest,3200,37.5,1270.0,47.9,33.9,1670.0,1820.0
2010-02-26,National,19200,33.9,6540.0,36.1,41.6,7530.0,10250.0
2010-02-26,Northeast,4000,46.2,1810.0,50.1,47.6,2630.0,3180.0
2010-02-26,Northwest,1000,32.0,340.0,9.9,77.4,120.0,690.0
2010-02-26,Southcentral,3500,23.1,630.0,16.4,36.5,650.0,1810.0
2010-02-26,Southeast,5100,19.5,1130.0,37.9,31.8,1500.0,1500.0
2010-02-26,Southwest,2400,55.8,1360.0,33.2,55.9,960.0,1250.0
2010-03-05,Midwest,3200,35.2,1410.0,37.5,41.8,1270.0,1100.0
2010-03-05,National,19200,30.6,6670.0,33.9,35.5,6540.0,7740.0
2010-03-05,Northeast,4000,42.8,2230.0,46.2,35.3,1810.0,2140.0
2010-03-05,Northwest,1000,21.9,230.0,32.0,43.6,340.0,460.0
2010-03-05,Southcentral,3500,22.5,790.0,23.1,28.0,630.0,790.0
2010-03-05,Southeast,5100,30.8,1520.0,19.5,43.2,1130.0,2860.0
2010-03-05,Southwest,2400,18.9,490.0,55.8,18.2,1360.0,390.0
2010-03-12,Midwest,3200,13.1,820.0,35.2,22.3,1410.0,1830.0
2010-03-12,National,19200,20.4,5210.0,30.6,29.0,6670.0,7140.0
2010-03-12,Northeast,4000,43.0,2650.0,42.8,34.8,2230.0,1850.0
2010-03-12,Northwest,1000,27.0,460.0,21.9,19.6,230.0,120.0
2010-03-12,Southcentral,3500,16.8,320.0,22.5,19.3,790.0,680.0
2010-03-12,Southeast,5100,8.1,670.0,30.8,40.1,1520.0,2260.0
2010-03-12,Southwest,2400,21.0,290.0,18.9,20.8,490.0,400.0
2010-03-19,Midwest,3200,40.5,970.0,13.1,37.7,820.0,1640.0
2010-03-19,National,19200,32.7,7800.0,20.4,34.1,5210.0,8350.0
2010-03-19,Northeast,4000,44.9,1870.0,43.0,40.0,2650.0,2300.0
2010-03-19,Northwest,1000,38.8,530.0,27.0,32.8,460.0,240.0
2010-03-19,Southcentral,3500,14.0,580.0,16.8,25.5,320.0,1470.0
2010-03-19,Southeast,5100,34.6,3040.0,8.1,25.5,670.0,1480.0
2010-03-19,Southwest,2400,22.8,810.0,21.0,50.2,290.0,1220.0
2010-03-26,Midwest,3200,51.1,1560.0,40.5,22.3,970.0,1220.0
2010-03-26,National,19200,50.4,10290.0,32.7,29.7,7800.0,8780.0
2010-03-26,Northeast,4000,65.4,4190.0,44.9,54.0,1870.0,3770.0
2010-03-26,Northwest,1000,77.9,870.0,38.8,28.7,530.0,360.0
2010-03-26,Southcentral,3500,36.2,1540.0,14.0,15.7,580.0,650.0
2010-03-26,Southeast,5100,45.9,840.0,34.6,22.9,3040.0,2010.0
2010-03-26,Southwest,2400,42.8,1290.0,22.8,32.4,810.0,770.0
2010-04-02,Midwest,3200,66.8,2900.0,51.1,50.5,1560.0,2050.0
2010-04-02,National,19200,47.1,9220.0,50.4,45.5,10290.0,9180.0
2010-04-02,Northeast,4000,38.5,2130.0,65.4,58.5,4190.0,3560.0
2010-04-02,Northwest,1000,41.8,690.0,77.9,40.4,870.0,180.0
2010-04-02,Southcentral,3500,49.1,1310.0,36.2,31.0,1540.0,900.0
2010-04-02,Southeast,5100,43.0,1190.0,45.9,44.0,840.0,1260.0
2010-04-02,Southwest,2400,43.1,1000.0,42.8,41.8,1290.0,1230.0
2010-04-09,Midwest,3200,20.0,820.0,66.8,71.2,2900.0,2950.0
2010-04-09,National,19200,19.2,4480.0,47.1,59.4,9220.0,11790.0
2010-04-09,Northeast,4000,46.7,2650.0,38.5,43.0,2130.0,2110.0
