report_date,environment,class,color,egg_type,origin,destination,freight,wtd_avg_price,volume,wtd_avg_price_prev,wtd_avg_price_ly,price_unit,volume_unit
2025-02-03,Cage-Free,1,White,Gradeable Nest Run,California,California,Delivered,778.0,1560,,,Cents Per Dozen,30-Dozen Cases
2025-02-03,Cage-Free,Large,White,Graded Loose,California,California,Delivered,872.0,2430,,,Cents Per Dozen,30-Dozen Cases
2025-02-03,Caged,1,White,Gradeable Nest Run,National,National,FOB,691.0,2340,,,Cents Per Dozen,30-Dozen Cases
2025-02-03,Caged,1,Brown,Gradeable Nest Run,National,National,FOB,645.0,576,,,Cents Per Dozen,30-Dozen Cases
2025-02-03,Caged,Extra Large,White,Graded Loose,National,National,FOB,692.63,12120,,,Cents Per Dozen,30-Dozen Cases
2025-02-03,Caged,Large,White,Graded Loose,National,National,FOB,724.65,9834,,,Cents Per Dozen,30-Dozen Cases
2025-02-03,Caged,Medium,White,Graded Loose,National,National,FOB,644.35,9438,,,Cents Per Dozen,30-Dozen Cases
2025-02-03,Caged,Medium,Brown,Graded Loose,National,National,FOB,497.0,360,,,Cents Per Dozen,30-Dozen Cases
2025-02-03,USDA Organic,1,Brown,Gradeable Nest Run,California,California,Delivered,887.0,1560,,,Cents Per Dozen,30-Dozen Cases
2025-02-03,USDA Organic,Large,Brown,Graded Loose,California,California,Delivered,870.0,390,,,Cents Per Dozen,30-Dozen Cases
2025-02-03,USDA Organic,Medium,Brown,Graded Loose,California,California,Delivered,693.0,390,,,Cents Per Dozen,30-Dozen Cases
2025-02-04,Cage-Free,1,White,Gradeable Nest Run,California,California,Delivered,778.0,1560,778.0,,Cents Per Dozen,30-Dozen Cases
2025-02-04,Cage-Free,Jumbo,White,Graded Loose,California,California,Delivered,820.0,672,,,Cents Per Dozen,30-Dozen Cases
2025-02-04,Cage-Free,Large,White,Graded Loose,California,California,Delivered,867.67,2430,872.0,,Cents Per Dozen,30-Dozen Cases
2025-02-04,Cage-Free,Small,White,Graded Loose,National,National,FOB,250.0,840,,,Cents Per Dozen,30-Dozen Cases
2025-02-04,Caged,1,White,Gradeable Nest Run,National,National,FOB,697.2,3900,691.0,,Cents Per Dozen,30-Dozen Cases
2025-02-04,Caged,1,Brown,Gradeable Nest Run,National,National,FOB,660.0,1152,645.0,,Cents Per Dozen,30-Dozen Cases
2025-02-04,Caged,Extra Large,White,Graded Loose,National,National,FOB,701.33,12780,692.63,,Cents Per Dozen,30-Dozen Cases
2025-02-04,Caged,Large,White,Graded Loose,National,National,FOB,723.77,16734,724.65,,Cents Per Dozen,30-Dozen Cases
2025-02-04,Caged,Medium,White,Graded Loose,National,National,FOB,637.58,11010,644.35,,Cents Per Dozen,30-Dozen Cases
2025-02-04,Caged,Medium,Brown,Graded Loose,National,National,FOB,523.67,810,497.0,,Cents Per Dozen,30-Dozen Cases
2025-02-04,USDA Organic,1,Brown,Gradeable Nest Run,California,California,Delivered,887.0,1560,887.0,,Cents Per Dozen,30-Dozen Cases
2025-02-04,USDA Organic,Large,Brown,Graded Loose,California,California,Delivered,916.0,1170,870.0,,Cents Per Dozen,30-Dozen Cases
2025-02-04,USDA Organic,Medium,Brown,Graded Loose,California,California,Delivered,693.0,390,693.0,,Cents Per Dozen,30-Dozen Cases
2025-02-05,Cage-Free,1,White,Gradeable Nest Run,California,California,Delivered,777.05,2280,778.0,,Cents Per Dozen,30-Dozen Cases
2025-02-05,Cage-Free,1,White,Gradeable Nest Run,National,National,FOB,753.0,2160,,,Cents Per Dozen,30-Dozen Cases
2025-02-05,Cage-Free,Jumbo,White,Graded Loose,California,California,Delivered,820.0,672,820.0,,Cents Per Dozen,30-Dozen Cases
2025-02-05,Cage-Free,Large,White,Graded Loose,California,California,Delivered,867.67,2430,867.67,,Cents Per Dozen,30-Dozen Cases
2025-02-05,Cage-Free,Large,Brown,Graded Loose,California,California,Delivered,901.0,780,,,Cents Per Dozen,30-Dozen Cases
2025-02-05,Cage-Free,Medium,White,Graded Loose,National,National,FOB,802.0,936,,,Cents Per Dozen,30-Dozen Cases
2025-02-05,Cage-Free,Small,White,Graded Loose,National,National,FOB,250.0,840,250.0,,Cents Per Dozen,30-Dozen Cases
2025-02-05,Caged,1,White,Gradeable Nest Run,National,National,FOB,697.66,8160,697.2,,Cents Per Dozen,30-Dozen Cases
2025-02-05,Caged,1,Brown,Gradeable Nest Run,National,National,FOB,660.0,1152,660.0,,Cents Per Dozen,30-Dozen Cases
2025-02-05,Caged,Extra Large,White,Graded Loose,National,National,FOB,705.2,11220,701.33,,Cents Per Dozen,30-Dozen Cases
2025-02-05,Caged,Jumbo,White,Graded Loose,National,National,FOB,601.0,720,,,Cents Per Dozen,30-Dozen Cases
2025-02-05,Caged,Large,White,Graded Loose,National,National,FOB,723.58,18414,723.77,,Cents Per Dozen,30-Dozen Cases
2025-02-05,Caged,Medium,White,Graded Loose,National,National,FOB,638.29,10074,637.58,,Cents Per Dozen,30-Dozen Cases
2025-02-05,Caged,Medium,Brown,Graded Loose,National,National,FOB,523.67,810,523.67,,Cents Per Dozen,30-Dozen Cases
2025-02-05,USDA Organic,1,Brown,Gradeable Nest Run,California,California,Delivered,887.0,1560,887.0,,Cents Per Dozen,30-Dozen Cases
2025-02-05,USDA Organic,Large,Brown,Graded Loose,California,California,Delivered,916.0,1170,916.0,,Cents Per Dozen,30-Dozen Cases
2025-02-05,USDA Organic,Medium,Brown,Graded Loose,California,California,Delivered,693.0,390,693.0,,Cents Per Dozen,30-Dozen Cases
2025-02-06,Cage-Free,1,White,Gradeable Nest Run,California,California,Delivered,775.0,720,777.05,,Cents Per Dozen,30-Dozen Cases
2025-02-06,Cage-Free,1,White,Gradeable Nest Run,National,National,FOB,753.0,2160,753.0,,Cents Per Dozen,30-Dozen Cases
2025-02-06,Cage-Free,Jumbo,White,Graded Loose,California,California,Delivered,820.0,672,820.0,,Cents Per Dozen,30-Dozen Cases
2025-02-06,Cage-Free,Large,White,Graded Loose,California,California,Delivered,867.5,1620,867.67,,Cents Per Dozen,30-Dozen Cases
2025-02-06,Cage-Free,Large,Brown,Graded Loose,California,California,Delivered,901.0,780,901.0,,Cents Per Dozen,30-Dozen Cases
2025-02-06,Cage-Free,Medium,White,Graded Loose,National,National,FOB,802.0,936,802.0,,Cents Per Dozen,30-Dozen Cases
2025-02-06,Cage-Free,Medium,Brown,Graded Loose,National,National,FOB,753.5,1680,,,Cents Per Dozen,30-Dozen Cases
2025-02-06,Cage-Free,Small,White,Graded Loose,National,National,FOB,250.0,840,250.0,,Cents Per Dozen,30-Dozen Cases
2025-02-06,Caged,1,White,Gradeable Nest Run,National,National,FOB,705.36,11280,697.66,,Cents Per Dozen,30-Dozen Cases
2025-02-06,Caged,1,Brown,Gradeable Nest Run,National,National,FOB,660.0,1152,660.0,,Cents Per Dozen,30-Dozen Cases
2025-02-06,Caged,Extra Large,White,Graded Loose,National,National,FOB,708.59,12480,705.2,,Cents Per Dozen,30-Dozen Cases
2025-02-06,Caged,Jumbo,White,Graded Loose,National,National,FOB,601.0,720,601.0,,Cents Per Dozen,30-Dozen Cases
2025-02-06,Caged,Large,White,Graded Loose,National,National,FOB,728.7,22002,723.58,,Cents Per Dozen,30-Dozen Cases
2025-02-06,Caged,Medium,White,Graded Loose,National,National,FOB,634.31,8292,638.29,,Cents Per Dozen,30-Dozen Cases
2025-02-06,Caged,Medium,Brown,Graded Loose,National,National,FOB,545.0,450,523.67,,Cents Per Dozen,30-Dozen Cases
2025-02-06,USDA Organic,1,Brown,Gradeable Nest Run,California,California,Delivered,887.0,1560,887.0,,Cents Per Dozen,30-Dozen Cases
2025-02-06,USDA Organic,Large,Brown,Graded Loose,California,California,Delivered,916.0,1170,916.0,,Cents Per Dozen,30-Dozen Cases
2025-02-06,USDA Organic,Medium,Brown,Graded Loose,California,California,Delivered,693.0,390,693.0,,Cents Per Dozen,30-Dozen Cases
2025-02-07,Cage-Free,1,White,Gradeable Nest Run,California,California,Delivered,775.0,720,775.0,,Cents Per Dozen,30-Dozen Cases
2025-02-07,Cage-Free,1,White,Gradeable Nest Run,National,National,FOB,753.0,2160,753.0,,Cents Per Dozen,30-Dozen Cases
2025-02-07,Cage-Free,Jumbo,White,Graded Loose,California,California,Delivered,820.0,672,820.0,,Cents Per Dozen,30-Dozen Cases
2025-02-07,Cage-Free,Large,White,Graded Loose,California,California,Delivered,865.0,810,867.5,,Cents Per Dozen,30-Dozen Cases
2025-02-07,Cage-Free,Large,Brown,Graded Loose,California,California,Delivered,901.0,780,901.0,,Cents Per Dozen,30-Dozen Cases
2025-02-07,Cage-Free,Medium,White,Graded Loose,National,National,FOB,802.0,936,802.0,,Cents Per Dozen,30-Dozen Cases
2025-02-07,Cage-Free,Medium,Brown,Graded Loose,National,National,FOB,753.5,1680,753.5,,Cents Per Dozen,30-Dozen Cases
2025-02-07,Cage-Free,Small,White,Graded Loose,National,National,FOB,250.0,840,250.0,,Cents Per Dozen,30-Dozen Cases
2025-02-07,Caged,1,White,Gradeable Nest Run,National,National,FOB,711.76,9720,705.36,,Cents Per Dozen,30-Dozen Cases
2025-02-07,Caged,1,Brown,Gradeable Nest Run,National,National,FOB,675.0,576,660.0,,Cents Per Dozen,30-Dozen Cases
2025-02-07,Caged,Extra Large,White,Graded Loose,National,National,FOB,719.06,10020,708.59,,Cents Per Dozen,30-Dozen Cases
2025-02-07,Caged,Jumbo,White,Graded Loose,National,National,FOB,601.0,720,601.0,,Cents Per Dozen,30-Dozen Cases
2025-02-07,Caged,Large,White,Graded Loose,National,National,FOB,733.82,21972,728.7,,Cents Per Dozen,30-Dozen Cases
2025-02-07,Caged,Medium,White,Graded Loose,National,National,FOB,637.43,6576,634.31,,Cents Per Dozen,30-Dozen Cases
2025-02-07,Caged,Medium,Brown,Graded Loose,National,National,FOB,545.0,450,545.0,,Cents Per Dozen,30-Dozen Cases
2025-02-07,USDA Organic,1,Brown,Gradeable Nest Run,California,California,Delivered,887.0,1560,887.0,,Cents Per Dozen,30-Dozen Cases
2025-02-07,USDA Organic,Large,Brown,Graded Loose,California,California,Delivered,939.0,780,916.0,,Cents Per Dozen,30-Dozen Cases
2025-02-07,USDA Organic,Medium,Brown,Graded Loose,California,California,Delivered,,,693.0,,Cents Per Dozen,30-Dozen Cases
2025-02-10,Cage-Free,1,White,Gradeable Nest Run,California,California,Delivered,775.0,720,775.0,,Cents Per Dozen,30-Dozen Cases
2025-02-10,Cage-Free,1,White,Gradeable Nest Run,National,National,FOB,753.0,2160,753.0,,Cents Per Dozen,30-Dozen Cases
2025-02-10,Cage-Free,Jumbo,White,Graded Loose,California,California,Delivered,820.0,672,820.0,,Cents Per Dozen,30-Dozen Cases
2025-02-10,Cage-Free,Large,White,Graded Loose,California,California,Delivered,865.51,1650,865.0,,Cents Per Dozen,30-Dozen Cases
2025-02-10,Cage-Free,Large,Brown,Graded Loose,California,California,Delivered,901.0,780,901.0,,Cents Per Dozen,30-Dozen Cases
2025-02-10,Cage-Free,Large,Brown,Graded Loose,National,National,FOB,890.0,780,,,Cents Per Dozen,30-Dozen Cases
2025-02-10,Cage-Free,Medium,White,Graded Loose,National,National,FOB,802.0,936,802.0,,Cents Per Dozen,30-Dozen Cases
2025-02-10,Cage-Free,Medium,Brown,Graded Loose,National,National,FOB,770.53,3150,753.5,,Cents Per Dozen,30-Dozen Cases
2025-02-10,Cage-Free,Small,White,Graded Loose,National,National,FOB,250.0,840,250.0,,Cents Per Dozen,30-Dozen Cases
2025-02-10,Caged,1,White,Gradeable Nest Run,National,National,FOB,723.17,12660,711.76,,Cents Per Dozen,30-Dozen Cases
2025-02-10,Caged,1,Brown,Gradeable Nest Run,National,National,FOB,675.0,576,675.0,,Cents Per Dozen,30-Dozen Cases
2025-02-10,Caged,Extra Large,White,Graded Loose,National,National,FOB,721.06,13080,719.06,,Cents Per Dozen,30-Dozen Cases
2025-02-10,Caged,Jumbo,White,Graded Loose,National,National,FOB,601.0,720,601.0,,Cents Per Dozen,30-Dozen Cases
2025-02-10,Caged,Large,White,Graded Loose,National,National,FOB,743.58,23286,733.82,,Cents Per Dozen,30-Dozen Cases
2025-02-10,Caged,Medium,White,Graded Loose,National,National,FOB,650.35,9684,637.43,,Cents Per Dozen,30-Dozen Cases
2025-02-10,Caged,Medium,Brown,Graded Loose,National,National,FOB,545.0,450,545.0,,Cents Per Dozen,30-Dozen Cases
2025-02-10,USDA Organic,1,Brown,Gradeable Nest Run,California,California,Delivered,,,887.0,,Cents Per Dozen,30-Dozen Cases
2025-02-10,USDA Organic,Large,Brown,Graded Loose,California,California,Delivered,939.0,1560,939.0,,Cents Per Dozen,30-Dozen Cases
2025-02-11,Cage-Free,1,White,Gradeable Nest Run,California,California,Delivered,775.0,720,775.0,,Cents Per Dozen,30-Dozen Cases
2025-02-11,Cage-Free,1,White,Gradeable Nest Run,National,National,FOB,753.0,2160,753.0,,Cents Per Dozen,30-Dozen Cases
2025-02-11,Cage-Free,Extra Large,White,Graded Loose,National,National,FOB,840.0,390,,,Cents Per Dozen,30-Dozen Cases
2025-02-11,Cage-Free,Jumbo,White,Graded Loose,California,California,Delivered,,,820.0,,Cents Per Dozen,30-Dozen Cases
2025-02-11,Cage-Free,Large,White,Graded Loose,California,California,Delivered,862.75,1680,865.51,,Cents Per Dozen,30-Dozen Cases
2025-02-11,Cage-Free,Large,White,Graded Loose,National,National,FOB,830.0,120,,,Cents Per Dozen,30-Dozen Cases
2025-02-11,Cage-Free,Large,Brown,Graded Loose,California,California,Delivered,901.0,780,901.0,,Cents Per Dozen,30-Dozen Cases
2025-02-11,Cage-Free,Large,Brown,Graded Loose,National,National,FOB,890.0,780,890.0,,Cents Per Dozen,30-Dozen Cases
2025-02-11,Cage-Free,Medium,White,Graded Loose,National,National,FOB,802.0,936,802.0,,Cents Per Dozen,30-Dozen Cases
2025-02-11,Cage-Free,Medium,Brown,Graded Loose,National,National,FOB,770.53,3150,770.53,,Cents Per Dozen,30-Dozen Cases
2025-02-11,Cage-Free,Small,White,Graded Loose,National,National,FOB,,,250.0,,Cents Per Dozen,30-Dozen Cases
2025-02-11,Caged,1,White,Gradeable Nest Run,National,National,FOB,719.58,14220,723.17,,Cents Per Dozen,30-Dozen Cases
