release_date,hatchability_pct
2004-01-28,82
2004-02-04,83
2004-11-17,83
2004-12-01,84
2005-04-20,84
2005-04-27,84
2005-06-22,84
2005-06-29,84
2005-07-06,84
2005-07-20,83
2005-08-10,84
2005-08-24,83
2005-08-31,83
2005-09-07,82
2005-11-30,83
2005-12-07,83
2005-12-14,83
2005-12-21,83
2005-12-28,83
2006-01-04,83
2006-01-11,83
2006-01-18,83
2006-01-25,83
2006-02-01,83
2006-02-08,83
2006-02-15,83
2006-02-22,83
2006-03-01,83
2006-03-08,83
2006-03-15,83
2006-03-22,83
2006-03-29,83
2006-04-05,83
2006-04-12,83
2006-04-19,83
2006-04-26,83
2006-05-03,84
2006-05-10,84
2006-05-17,83
2006-05-24,83
2006-05-31,84
2006-06-07,84
2006-06-14,83
2006-06-21,83
2006-06-28,83
2006-07-06,84
2006-07-12,84
2006-07-19,83
2006-07-26,83
2006-08-02,83
2006-08-09,83
2006-08-16,83
2006-08-23,83
2006-08-30,83
2006-09-06,83
2006-09-13,83
2006-09-20,83
2006-09-27,83
2006-10-04,83
2006-10-11,83
2006-10-18,83
2006-10-25,83
2006-11-01,83
2006-11-08,83
2006-11-15,83
2006-11-22,83
2006-11-29,83
2006-12-06,83
2006-12-13,83
2006-12-20,83
2006-12-27,83
2007-01-04,83
2007-01-10,83
2007-01-17,83
2007-01-24,83
2007-01-31,83
2007-02-07,83
2007-02-14,84
2007-02-21,83
2007-02-28,83
2007-03-07,83
2007-03-14,83
2007-03-21,83
2007-03-28,83
2007-04-04,83
2007-04-11,83
2007-04-18,83
2007-04-25,83
2007-05-02,84
2007-05-09,83
2007-05-16,83
2007-05-23,83
2007-05-30,83
2007-06-06,83
2007-06-13,84
2007-06-20,83
2007-06-27,84
2007-07-05,83
2007-07-11,83
2007-07-18,84
2007-07-25,83
2007-08-01,83
2007-08-08,83
2007-08-15,83
2007-08-22,83
2007-08-29,83
2007-09-05,83
2007-09-12,83
2007-09-19,83
2008-03-05,83
2008-03-12,83
2008-03-19,83
2008-03-26,83
2008-05-07,84
2008-05-14,84
2008-05-21,83
2008-05-28,84
2008-06-04,84
2008-06-11,84
2008-07-02,84
2008-07-09,84
2009-05-06,85
2009-05-13,85
2009-05-20,85
2009-05-27,85
2009-06-03,85
