report_month,report_date,category,layer_flock_size,lay_rate_pct,weekly_production_cases,source_url,source_type
2019-01,2019-01-01,organic,15686000,,,,seed
2019-01,2019-01-01,non_organic_cage_free,41470000,,,,seed
2019-01,2019-01-01,all_cage_free,57156000,,,,seed
2019-02,2019-02-01,organic,15686000,,,,seed
2019-02,2019-02-01,non_organic_cage_free,41613000,,,,seed
2019-02,2019-02-01,all_cage_free,57299000,,,,seed
2019-03,2019-03-01,organic,15007500,,,,seed
2019-03,2019-03-01,non_organic_cage_free,46849000,,,,seed
2019-03,2019-03-01,all_cage_free,61856500,,,,seed
2019-04,2019-04-01,organic,15686000,,,,seed
2019-04,2019-04-01,non_organic_cage_free,50669000,,,,seed
2019-04,2019-04-01,all_cage_free,66355000,,,,seed
2019-05,2019-05-01,organic,15778000,,,,seed
2019-05,2019-05-01,non_organic_cage_free,50897000,,,,seed
2019-05,2019-05-01,all_cage_free,66675000,,,,seed
2019-06,2019-06-01,organic,15778000,,,,seed
2019-06,2019-06-01,non_organic_cage_free,51337000,,,,seed
2019-06,2019-06-01,all_cage_free,67115000,,,,seed
2019-07,2019-07-01,organic,15755000,,,,seed
2019-07,2019-07-01,non_organic_cage_free,51337000,,,,seed
2019-07,2019-07-01,all_cage_free,67092000,,,,seed
2019-08,2019-08-01,organic,15755000,,,,seed
2019-08,2019-08-01,non_organic_cage_free,51337000,,,,seed
2019-08,2019-08-01,all_cage_free,67092000,,,,seed
2019-09,2019-09-01,organic,15755000,,,,seed
2019-09,2019-09-01,non_organic_cage_free,52734000,,,,seed
2019-09,2019-09-01,all_cage_free,68489000,,,,seed
2019-10,2019-10-01,organic,16111500,,,,seed
2019-10,2019-10-01,non_organic_cage_free,54208000,,,,seed
2019-10,2019-10-01,all_cage_free,70319500,,,,seed
2019-11,2019-11-01,organic,16226500,,,,seed
2019-11,2019-11-01,non_organic_cage_free,54593000,,,,seed
2019-11,2019-11-01,all_cage_free,70819500,,,,seed
2019-12,2019-12-01,organic,16226500,,,,seed
2019-12,2019-12-01,non_organic_cage_free,54593000,,,,seed
2019-12,2019-12-01,all_cage_free,70819500,,,,seed
2020-01,2020-01-01,organic,15651500,,,,seed
2020-01,2020-01-01,non_organic_cage_free,53966000,,,,seed
2020-01,2020-01-01,all_cage_free,69617500,,,,seed
2020-02,2020-02-01,organic,15651500,,,,seed
2020-02,2020-02-01,non_organic_cage_free,53966000,,,,seed
2020-02,2020-02-01,all_cage_free,69617500,,,,seed
2020-03,2020-03-01,organic,15720500,,,,seed
2020-03,2020-03-01,non_organic_cage_free,61204000,,,,seed
2020-03,2020-03-01,all_cage_free,76924500,,,,seed
2020-04,2020-04-01,organic,15720500,,,,seed
2020-04,2020-04-01,non_organic_cage_free,60896000,,,,seed
2020-04,2020-04-01,all_cage_free,76616500,,,,seed
2020-05,2020-05-01,organic,15720500,,,,seed
2020-05,2020-05-01,non_organic_cage_free,61061000,,,,seed
2020-05,2020-05-01,all_cage_free,76781500,,,,seed
2020-06,2020-06-01,organic,15812500,,,,seed
2020-06,2020-06-01,non_organic_cage_free,62590000,,,,seed
2020-06,2020-06-01,all_cage_free,78402500,,,,seed
2020-07,2020-07-01,organic,15812500,,,,seed
2020-07,2020-07-01,non_organic_cage_free,63030000,,,,seed
2020-07,2020-07-01,all_cage_free,78842500,,,,seed
2020-08,2020-08-01,organic,15812500,,,,seed
2020-08,2020-08-01,non_organic_cage_free,63030000,,,,seed
2020-08,2020-08-01,all_cage_free,78842500,,,,seed
2020-09,2020-09-01,organic,17146500,,,,seed
2020-09,2020-09-01,non_organic_cage_free,62832000,,,,seed
2020-09,2020-09-01,all_cage_free,79978500,,,,seed
2020-10,2020-10-01,organic,17146500,,,,seed
2020-10,2020-10-01,non_organic_cage_free,62909000,,,,seed
2020-10,2020-10-01,all_cage_free,80055500,,,,seed
