trade_date,corn_per_ton,soymeal_per_ton,calcium_per_ton,other_per_ton,ration_cost,layer_feed_index,source_type,source_note
2022-08-26,237.2321428,428.5,5.1,16.35,254.114035676,130.07658316399895,layerfeed_workbook_seed,Reconstructed from LayerFeed.xlsx workbook supplied by user; workbook formula mirrors CME-derived corn and soybean meal inputs.
2022-08-29,243.9285713,427.1,5.1,16.35,258.29264277100003,132.21553991960087,layerfeed_workbook_seed,Reconstructed from LayerFeed.xlsx workbook supplied by user; workbook formula mirrors CME-derived corn and soybean meal inputs.
2022-08-30,241.8749999,424.5,5.1,16.35,256.344749933,131.21844724007755,layerfeed_workbook_seed,Reconstructed from LayerFeed.xlsx workbook supplied by user; workbook formula mirrors CME-derived corn and soybean meal inputs.
2022-08-31,239.4642856,415.1,5.1,16.35,252.661571352,129.33309177860212,layerfeed_workbook_seed,Reconstructed from LayerFeed.xlsx workbook supplied by user; workbook formula mirrors CME-derived corn and soybean meal inputs.
2022-09-01,234.9999999,415.3,5.1,16.35,249.71449993299998,127.82453685166148,layerfeed_workbook_seed,Reconstructed from LayerFeed.xlsx workbook supplied by user; workbook formula mirrors CME-derived corn and soybean meal inputs.
2022-09-02,237.767857,417.7,5.1,16.35,252.09696418999997,129.04407913013696,layerfeed_workbook_seed,Reconstructed from LayerFeed.xlsx workbook supplied by user; workbook formula mirrors CME-derived corn and soybean meal inputs.
2022-09-06,241.4285713,406.8,5.1,16.35,252.15164277099998,129.0720681507742,layerfeed_workbook_seed,Reconstructed from LayerFeed.xlsx workbook supplied by user; workbook formula mirrors CME-derived corn and soybean meal inputs.
2022-09-07,239.642857,411.5,5.1,16.35,251.98921418999998,128.9889237673148,layerfeed_workbook_seed,Reconstructed from LayerFeed.xlsx workbook supplied by user; workbook formula mirrors CME-derived corn and soybean meal inputs.
2022-09-08,238.7499999,405.9,5.1,16.35,250.158999933,128.05206871963793,layerfeed_workbook_seed,Reconstructed from LayerFeed.xlsx workbook supplied by user; workbook formula mirrors CME-derived corn and soybean meal inputs.
2022-09-09,244.642857,410.7,5.1,16.35,255.16321419,130.6136395130005,layerfeed_workbook_seed,Reconstructed from LayerFeed.xlsx workbook supplied by user; workbook formula mirrors CME-derived corn and soybean meal inputs.
2022-09-12,248.5714285,434.6,5.1,16.35,263.053357095,134.65246730552215,layerfeed_workbook_seed,Reconstructed from LayerFeed.xlsx workbook supplied by user; workbook formula mirrors CME-derived corn and soybean meal inputs.
2022-09-13,247.4107142,423.8,5.1,16.35,259.899678514,133.03815374301982,layerfeed_workbook_seed,Reconstructed from LayerFeed.xlsx workbook supplied by user; workbook formula mirrors CME-derived corn and soybean meal inputs.
